# mean, investigation_time=1.0
lon,lat,PGA-0.002105,PGA-0.00040397,SA(0.2)-0.002105,SA(0.2)-0.00040397,SA(1.0)-0.002105,SA(1.0)-0.00040397
70.40000,27.20000,1.232715E-01,2.819761E-01,2.221319E-01,4.703120E-01,7.003140E-02,1.571871E-01
70.40000,27.40000,1.207553E-01,2.597386E-01,2.216712E-01,4.459725E-01,7.349347E-02,1.634546E-01
70.40000,27.60000,1.250064E-01,2.572879E-01,2.315691E-01,4.516291E-01,8.002372E-02,1.787982E-01
70.40000,27.80000,1.365667E-01,2.771079E-01,2.532016E-01,4.909157E-01,9.009002E-02,2.034909E-01
70.40000,28.00000,1.559030E-01,3.178800E-01,2.877735E-01,5.646325E-01,1.035988E-01,2.365085E-01
70.60000,20.80000,1.759398E-01,4.031887E-01,2.658451E-01,5.928073E-01,5.509102E-02,1.332716E-01
70.60000,21.00000,1.904362E-01,4.329602E-01,2.850813E-01,6.343783E-01,5.886949E-02,1.426656E-01
70.60000,21.20000,1.973088E-01,4.462266E-01,2.948469E-01,6.533396E-01,6.172102E-02,1.480902E-01
70.60000,21.40000,1.955508E-01,4.414653E-01,2.941186E-01,6.477687E-01,6.356706E-02,1.492635E-01
70.60000,21.60000,1.884234E-01,4.254118E-01,2.872480E-01,6.273315E-01,6.498002E-02,1.483581E-01
70.60000,21.80000,1.809739E-01,4.086545E-01,2.807700E-01,6.071158E-01,6.674565E-02,1.484669E-01
70.60000,22.00000,1.771490E-01,3.991707E-01,2.797723E-01,5.991691E-01,6.937653E-02,1.519314E-01
70.60000,22.20000,1.803814E-01,4.058778E-01,2.885558E-01,6.159444E-01,7.335421E-02,1.606721E-01
70.60000,22.40000,1.919856E-01,4.310672E-01,3.092131E-01,6.621817E-01,7.933365E-02,1.767251E-01
70.60000,22.60000,2.258373E-01,5.013887E-01,3.557204E-01,7.668196E-01,8.902999E-02,2.060268E-01
70.60000,22.80000,2.782754E-01,6.157057E-01,4.274874E-01,9.336876E-01,1.032261E-01,2.503503E-01
70.60000,23.00000,3.352871E-01,7.280219E-01,5.057553E-01,1.098264E+00,1.193720E-01,2.981596E-01
70.60000,23.20000,3.857665E-01,8.255402E-01,5.773528E-01,1.241682E+00,1.353706E-01,3.417406E-01
70.60000,23.40000,4.206724E-01,8.923814E-01,6.270680E-01,1.339802E+00,1.471765E-01,3.711047E-01
70.60000,23.60000,4.314891E-01,9.139379E-01,6.427434E-01,1.371463E+00,1.514777E-01,3.815849E-01
70.60000,23.80000,4.171243E-01,8.882274E-01,6.229374E-01,1.333994E+00,1.479726E-01,3.720965E-01
70.60000,24.00000,3.845263E-01,8.276406E-01,5.777702E-01,1.246039E+00,1.388027E-01,3.480858E-01
70.60000,24.20000,3.448377E-01,7.529861E-01,5.230271E-01,1.138059E+00,1.276570E-01,3.176944E-01
70.60000,25.80000,1.698179E-01,4.200395E-01,2.841141E-01,6.629863E-01,7.698602E-02,1.831905E-01
70.60000,26.00000,1.738099E-01,4.322720E-01,2.879676E-01,6.780162E-01,7.644596E-02,1.839146E-01
70.60000,26.20000,1.816069E-01,4.543491E-01,2.969023E-01,7.046825E-01,7.687900E-02,1.883448E-01
70.60000,26.40000,1.850639E-01,4.644692E-01,3.004361E-01,7.166485E-01,7.686682E-02,1.906658E-01
70.60000,26.60000,1.790108E-01,4.494296E-01,2.918340E-01,6.967773E-01,7.551226E-02,1.868508E-01
70.60000,26.80000,1.643650E-01,4.105563E-01,2.724566E-01,6.428820E-01,7.313224E-02,1.774102E-01
70.60000,27.00000,1.464807E-01,3.599563E-01,2.497200E-01,5.715704E-01,7.085334E-02,1.665873E-01
70.60000,27.20000,1.312792E-01,3.103480E-01,2.312786E-01,5.050152E-01,6.997785E-02,1.594578E-01
70.60000,27.40000,1.223963E-01,2.723515E-01,2.215755E-01,4.574600E-01,7.134758E-02,1.594671E-01
70.60000,27.60000,1.207026E-01,2.530580E-01,2.224267E-01,4.380727E-01,7.560777E-02,1.683980E-01
70.60000,27.80000,1.262650E-01,2.554608E-01,2.344704E-01,4.510125E-01,8.314630E-02,1.865345E-01
70.80000,20.80000,1.854826E-01,4.221111E-01,2.785597E-01,6.196533E-01,5.696920E-02,1.389202E-01
70.80000,21.00000,2.012501E-01,4.540359E-01,2.993920E-01,6.642960E-01,6.092955E-02,1.489781E-01
70.80000,21.20000,2.092738E-01,4.696419E-01,3.104681E-01,6.857974E-01,6.383877E-02,1.545406E-01
70.80000,21.40000,2.081410E-01,4.665527E-01,3.102093E-01,6.825147E-01,6.555342E-02,1.556231E-01
70.80000,21.60000,2.006499E-01,4.506465E-01,3.023748E-01,6.618053E-01,6.659866E-02,1.540862E-01
70.80000,21.80000,1.914046E-01,4.309414E-01,2.930036E-01,6.365077E-01,6.774656E-02,1.526495E-01
