Longitude,Latitude,Depth,Observed Count,Smoothed Rate,b-value
65.2,32.6,500,0,1.33345E-005,1
68.8,32.6,500,0,1.33345E-005,1
68.4,38.8,500,0,1.34458E-005,1
97.4,5.8,500,0,1.34594E-005,1
97.8,6.6,500,0,1.35081E-005,1
92.8,6.6,500,0,1.35674E-005,1
74.6,39.4,500,0,1.36318E-005,1
97.4,7,500,0,1.36428E-005,1
70.6,33.8,500,0,1.37277E-005,1
100.4,8,500,0,1.38823E-005,1
74.4,38.2,500,0,1.39133E-005,1
96.8,3.6,500,0,1.39407E-005,1
92.6,7.2,500,0,1.39604E-005,1
90.6,25.4,500,0,1.39705E-005,1
94.6,25.4,500,0,1.39705E-005,1
68,38,500,0,0.000013995,1
74.2,35.4,500,0,1.39959E-005,1
96.8,3.4,500,0,1.40448E-005,1
94,4.8,500,0,1.40459E-005,1
67.6,37.4,500,0,0.000014096,1
90.4,27,500,0,1.41116E-005,1
94.8,27,500,0,1.41116E-005,1
92.6,8.4,500,0,1.41915E-005,1
97.6,5.6,500,0,1.42395E-005,1
97.4,5.4,500,0,1.42474E-005,1
97,5,500,0,1.42588E-005,1
67.4,37,500,0,0.000014441,1
93.4,5.4,500,0,1.44452E-005,1
74.6,38.8,500,0,0.00001448,1
74.2,37.6,500,0,1.46015E-005,1
65.2,35.4,500,0,0.000014629,1
65,35.2,500,0,1.46596E-005,1
97,7.8,500,0,1.47238E-005,1
97,2.4,500,0,1.47263E-005,1
74.4,40,500,0,1.48929E-005,1
74.2,37.8,500,0,1.50279E-005,1
90.6,27.4,500,0,1.51014E-005,1
94.6,27.4,500,0,1.51014E-005,1
97.2,5.2,500,0,1.51077E-005,1
64.6,33.6,500,0,0.000015269,1
69.4,33.6,500,0,0.000015269,1
74.4,35.8,500,0,1.53107E-005,1
96.4,4.6,500,0,1.55715E-005,1
74.6,39.2,500,0,1.55999E-005,1
66.6,36,500,0,0.00001561,1
98.8,7.8,500,0,0.000015617,1
93.6,9.6,500,0,1.57686E-005,1
95.6,9.6,500,0,1.57686E-005,1
74.6,39,500,0,1.59742E-005,1
64.6,34.4,500,0,1.61226E-005,1
91.2,24.8,500,0,1.61746E-005,1
94,24.8,500,0,1.61746E-005,1
66.6,32,500,0,1.62188E-005,1
67.4,32,500,0,1.62188E-005,1
98,7,500,0,1.63878E-005,1
92.2,28.4,500,0,1.64367E-005,1
93,28.4,500,0,1.64367E-005,1
72.8,34.4,500,0,1.66861E-005,1
92.2,24.4,500,0,1.68877E-005,1
93,24.4,500,0,1.68877E-005,1
91.2,28,500,0,1.69509E-005,1
94,28,500,0,1.69509E-005,1
92.8,8.8,500,0,0.000017059,1
96.4,8.8,500,0,0.000017059,1
93,6.2,500,0,1.72096E-005,1
73.6,34.8,500,0,0.000017216,1
93.8,5,500,0,1.73123E-005,1
93.6,5.2,500,0,0.000017472,1
94.2,9.8,500,0,1.74872E-005,1
95,9.8,500,0,1.74872E-005,1
99.4,8,500,0,0.000017547,1
95,4.4,500,0,1.76233E-005,1
95.8,4.4,500,0,1.76233E-005,1
96.6,8.4,500,0,1.78348E-005,1
66.8,36,500,0,1.79158E-005,1
97.2,2,500,0,1.80016E-005,1
71.6,34,500,0,1.82941E-005,1
68.2,38.2,500,0,1.83692E-005,1
100.2,8,500,0,1.84279E-005,1
94.4,4.6,500,0,0.000018554,1
90.8,25.2,500,0,1.87369E-005,1
94.4,25.2,500,0,1.87369E-005,1
66.8,32,500,0,1.87387E-005,1
67.2,32,500,0,1.87387E-005,1
67,36,500,0,1.87578E-005,1
90.4,26,500,0,1.89212E-005,1
94.8,26,500,0,1.89212E-005,1
97.8,6.4,500,0,1.89794E-005,1
97.2,5,500,0,1.89815E-005,1
97.4,6,500,0,1.89938E-005,1
64.6,33.8,500,0,1.90058E-005,1
69.4,33.8,500,0,1.90058E-005,1
74.4,37,500,0,1.90694E-005,1
97.4,6.8,500,0,0.000019166,1
91.6,24.6,500,0,1.92029E-005,1
93.6,24.6,500,0,1.92029E-005,1
97.2,5.4,500,0,1.93075E-005,1
92.4,28.4,500,0,1.93244E-005,1
92.8,28.4,500,0,1.93244E-005,1
91.6,28.2,500,0,1.94273E-005,1
93.6,28.2,500,0,1.94273E-005,1
74.2,38,500,0,1.94314E-005,1
64.8,33.2,500,0,1.94835E-005,1
69.2,33.2,500,0,1.94835E-005,1
64.6,34.2,500,0,1.95297E-005,1
68.6,39,500,0,1.95639E-005,1
93.2,5.8,500,0,1.96049E-005,1
67,32,500,0,1.96628E-005,1
90.4,26.8,500,0,1.96762E-005,1
94.8,26.8,500,0,1.96762E-005,1
91,25,500,0,1.96784E-005,1
94.2,25,500,0,1.96784E-005,1
92.6,7.4,500,0,1.97104E-005,1
97.2,7.4,500,0,0.000019868,1
92.6,8.2,500,0,1.99273E-005,1
69.4,39.8,500,0,1.99652E-005,1
92.4,24.4,500,0,1.99683E-005,1
92.8,24.4,500,0,1.99683E-005,1
90.8,27.6,500,0,2.01299E-005,1
94.4,27.6,500,0,2.01299E-005,1
92.6,28.4,500,0,2.03956E-005,1
67.2,36,500,0,2.05011E-005,1
64.6,34,500,0,2.06306E-005,1
91,27.8,500,0,2.09164E-005,1
94.2,27.8,500,0,2.09164E-005,1
92.6,24.4,500,0,2.11153E-005,1
64.8,34.8,500,0,2.12844E-005,1
68.4,38.6,500,0,2.12971E-005,1
94.4,9.8,500,0,2.13706E-005,1
94.8,9.8,500,0,2.13706E-005,1
73.2,34.6,500,0,2.13761E-005,1
73.8,35,500,0,2.13998E-005,1
74,35.2,500,0,0.000021408,1
69.2,39.6,500,0,2.14179E-005,1
99.6,8,500,0,2.15241E-005,1
95.2,4.4,500,0,2.16013E-005,1
95.6,4.4,500,0,2.16013E-005,1
72.2,34.2,500,0,2.16517E-005,1
66,32.2,500,0,2.16808E-005,1
68,32.2,500,0,2.16808E-005,1
66,35.8,500,0,2.18428E-005,1
74.4,36,500,0,2.18592E-005,1
69.6,40,500,0,2.19022E-005,1
74.4,39.8,500,0,2.19055E-005,1
100,8,500,0,2.19307E-005,1
65.6,32.4,500,0,2.19884E-005,1
68.4,32.4,500,0,2.19884E-005,1
100.8,7.8,500,0,2.19993E-005,1
69,39.4,500,0,2.22501E-005,1
97,4.4,500,0,2.25485E-005,1
74.4,38.4,500,0,2.27949E-005,1
97,2.6,500,0,2.28217E-005,1
92.8,6.8,500,0,2.28416E-005,1
94.6,9.8,500,0,0.000022848,1
74.2,37.4,500,0,2.29163E-005,1
68.8,39.2,500,0,2.30521E-005,1
65.6,35.6,500,0,2.30963E-005,1
95.4,4.4,500,0,2.31177E-005,1
99.8,8,500,0,2.31521E-005,1
97.8,6.2,500,0,2.32556E-005,1
97.4,6.2,500,0,2.33753E-005,1
90.4,26.2,500,0,2.34619E-005,1
94.8,26.2,500,0,2.34619E-005,1
97.4,6.6,500,0,0.000023481,1
96.6,4.8,500,0,2.36573E-005,1
97.4,5.2,500,0,2.37545E-005,1
96.8,8,500,0,2.37599E-005,1
98.6,7.6,500,0,2.37944E-005,1
90.4,26.6,500,0,2.39255E-005,1
94.8,26.6,500,0,2.39255E-005,1
97,5.2,500,0,2.41513E-005,1
93.4,9.4,500,0,0.000024175,1
95.8,9.4,500,0,0.000024175,1
92.6,7.6,500,0,2.42688E-005,1
98.2,7.2,500,0,2.43781E-005,1
92.6,8,500,0,0.000024402,1
97.8,6,500,0,2.48502E-005,1
97.4,6.4,500,0,2.50876E-005,1
93,9,500,0,2.51496E-005,1
96.2,9,500,0,2.51496E-005,1
100.8,2,500,0,2.52997E-005,1
90.4,26.4,500,0,2.53709E-005,1
94.8,26.4,500,0,2.53709E-005,1
101,2.4,500,0,2.56671E-005,1
92.6,7.8,500,0,0.000026059,1
90.6,25.6,500,0,2.60682E-005,1
94.6,25.6,500,0,2.60682E-005,1
96.8,5,500,0,2.73828E-005,1
98.4,7.4,500,0,2.76035E-005,1
71.4,34,500,0,2.76574E-005,1
90.6,27.2,500,0,2.77432E-005,1
94.6,27.2,500,0,2.77432E-005,1
93.2,9.2,500,0,2.82472E-005,1
96,9.2,500,0,2.82472E-005,1
65,33,500,0,2.82774E-005,1
69,33,500,0,2.82774E-005,1
69.6,34,500,0,2.84586E-005,1
99,7.8,500,0,0.000028662,1
96.2,4.6,500,0,0.00002867,1
93.8,9.6,500,0,2.87888E-005,1
95.4,9.6,500,0,2.87888E-005,1
93,6.4,500,0,2.93015E-005,1
65.4,32.6,500,0,3.00605E-005,1
68.6,32.6,500,0,3.00605E-005,1
74.4,39.6,500,0,3.01051E-005,1
97.2,5.6,500,0,0.000030109,1
97.6,5.4,500,0,3.02906E-005,1
98,6.8,500,0,3.02915E-005,1
