Longitude,Latitude,nu4_5,Observed Count,Smoothed Rate
63.4,28.4,0.0011,0,0.002077
63.4,28.6,0.0014,0,0.003319
63.4,28.8,0.0029,0,0.007286
63.4,29.0,0.0059,0,0.014955
63.4,29.2,0.0106,0,0.026059
63.4,29.4,0.0164,0,0.038026
63.4,29.6,0.0218,0,0.046237
63.4,29.8,0.0245,0,0.046486
63.4,30.0,0.0227,0,0.03828
63.4,30.2,0.0172,0,0.025582
63.4,30.4,0.0105,0,0.013768
63.4,30.6,0.0051,0,0.005933
63.4,30.8,0.002,0,0.002039
63.4,31.0,0.0006,0,0.000557
63.4,31.2,0.0001,0,0.00012
63.6,22.4,0.0001,0,0.000209
63.6,22.6,0.0003,0,0.000756
63.6,22.8,0.0009,0,0.002168
63.6,23.0,0.002,0,0.004918
63.6,23.2,0.0036,0,0.00883
63.6,23.4,0.0052,0,0.012543
63.6,23.6,0.0058,0,0.014099
63.6,23.8,0.0052,0,0.012539
63.6,24.0,0.0036,0,0.008824
63.6,24.2,0.002,0,0.004913
63.6,24.4,0.0009,0,0.002165
63.6,24.6,0.0003,0,0.000755
63.6,24.8,0.0001,0,0.000208
63.6,26.8,0.0001,0,6.4e-05
63.6,27.0,0.0003,0,0.000184
63.6,27.2,0.0006,0,0.00042
63.6,27.4,0.0009,0,0.000757
63.6,27.6,0.0011,0,0.00108
63.6,27.8,0.0011,0,0.001232
63.6,28.0,0.0009,0,0.001163
63.6,28.2,0.0007,0,0.001138
63.6,28.4,0.0009,0,0.001828
63.6,28.6,0.002,0,0.004485
63.6,28.8,0.0046,0,0.010857
63.6,29.0,0.0095,0,0.022394
63.6,29.2,0.0166,0,0.038608
63.6,29.4,0.0251,0,0.055629
63.6,29.6,0.0326,0,0.066847
63.6,29.8,0.0359,0,0.06655
63.6,30.0,0.0329,0,0.054387
63.6,30.2,0.0247,0,0.036142
63.6,30.4,0.015,0,0.019373
63.6,30.6,0.0073,0,0.008324
63.6,30.8,0.0028,0,0.002854
63.6,31.0,0.0009,0,0.000779
63.6,31.2,0.0002,0,0.000167
63.8,22.4,0.0002,0,0.000343
63.8,22.6,0.0006,0,0.00124
63.8,22.8,0.0016,0,0.003554
63.8,23.0,0.0037,0,0.008058
63.8,23.2,0.0066,0,0.014457
63.8,23.4,0.0093,0,0.020521
63.8,23.6,0.0105,0,0.023048
63.8,23.8,0.0093,0,0.020483
63.8,24.0,0.0066,0,0.014403
63.8,24.2,0.0037,0,0.008014
63.8,24.4,0.0016,0,0.003528
63.8,24.6,0.0006,0,0.001229
63.8,24.8,0.0002,0,0.000339
63.8,27.0,0.0001,0,5.5e-05
63.8,27.2,0.0002,0,0.000127
63.8,27.4,0.0003,0,0.000229
63.8,27.6,0.0004,0,0.000327
63.8,27.8,0.0004,0,0.000387
63.8,28.0,0.0004,0,0.000429
63.8,28.2,0.0004,0,0.000714
63.8,28.4,0.001,0,0.00194
63.8,28.6,0.0026,0,0.005581
63.8,28.8,0.0064,0,0.013784
63.8,29.0,0.0129,0,0.028262
63.8,29.2,0.0221,0,0.048196
63.8,29.4,0.0325,0,0.068641
63.8,29.6,0.0411,0,0.081588
63.8,29.8,0.0443,1,0.080481
63.8,30.0,0.0401,0,0.065302
63.8,30.2,0.0298,0,0.043167
63.8,30.4,0.018,0,0.023052
63.8,30.6,0.0087,0,0.009879
63.8,30.8,0.0034,0,0.003381
63.8,31.0,0.001,0,0.000921
63.8,31.2,0.0003,0,0.000197
64.0,22.2,0.0001,0,0.000101
64.0,22.4,0.0002,0,0.000461
64.0,22.6,0.0008,0,0.00167
64.0,22.8,0.0024,0,0.004782
64.0,23.0,0.0054,0,0.010837
64.0,23.2,0.0098,0,0.019433
64.0,23.4,0.0139,0,0.027572
64.0,23.6,0.0156,0,0.030954
64.0,23.8,0.0138,0,0.027496
64.0,24.0,0.0097,0,0.019326
64.0,24.2,0.0054,0,0.010748
64.0,24.4,0.0024,0,0.004729
64.0,24.6,0.0008,0,0.001647
64.0,24.8,0.0002,0,0.000454
64.0,27.2,0.0001,0,3.2e-05
64.0,27.4,0.0001,0,5.8e-05
64.0,27.6,0.0001,0,8.3e-05
64.0,27.8,0.0001,0,0.000112
64.0,28.0,0.0001,0,0.00019
64.0,28.2,0.0003,0,0.00058
64.0,28.4,0.0011,0,0.001992
64.0,28.6,0.0031,0,0.005968
64.0,28.8,0.0074,0,0.014743
64.0,29.0,0.0147,0,0.029998
64.0,29.2,0.0247,0,0.050661
64.0,29.4,0.0354,1,0.071401
64.0,29.6,0.0437,0,0.084034
64.0,29.8,0.0462,1,0.082196
64.0,30.0,0.0411,0,0.066253
64.0,30.2,0.0303,0,0.043585
64.0,30.4,0.0182,0,0.023197
64.0,30.6,0.0088,0,0.009919
64.0,30.8,0.0034,0,0.00339
64.0,31.0,0.001,0,0.000923
64.0,31.2,0.0003,0,0.000197
64.0,32.8,0.0001,0,6e-05
64.2,22.2,0.0001,0,0.000111
64.2,22.4,0.0003,0,0.000509
64.2,22.6,0.001,0,0.001843
64.2,22.8,0.0029,0,0.005279
64.2,23.0,0.0066,0,0.011962
64.2,23.2,0.0119,0,0.021447
64.2,23.4,0.0169,0,0.030425
64.2,23.6,0.0189,1,0.034151
64.2,23.8,0.0168,0,0.030332
64.2,24.0,0.0118,0,0.021316
64.2,24.2,0.0066,0,0.011853
64.2,24.4,0.0029,0,0.005215
64.2,24.6,0.001,0,0.001815
64.2,24.8,0.0003,0,0.0005
64.2,25.0,0.0001,0,0.000109
64.2,28.0,0.0001,0,0.000115
64.2,28.2,0.0003,0,0.000486
64.2,28.4,0.001,0,0.001783
64.2,28.6,0.003,0,0.005378
64.2,28.8,0.0072,0,0.01324
64.2,29.0,0.0142,0,0.026758
64.2,29.2,0.0233,0,0.044809
64.2,29.4,0.0326,0,0.06258
64.2,29.6,0.0392,0,0.073009
64.2,29.8,0.0405,0,0.070872
64.2,30.0,0.0355,0,0.056785
64.2,30.2,0.0258,0,0.037195
64.2,30.4,0.0154,0,0.019738
64.2,30.6,0.0074,0,0.008424
64.2,30.8,0.0029,0,0.002876
64.2,31.0,0.0009,0,0.000782
64.2,31.2,0.0002,0,0.000167
64.2,33.0,0.0001,0,8.9e-05
64.4,22.2,0.0001,0,0.000101
64.4,22.4,0.0003,0,0.000461
64.4,22.6,0.001,0,0.00167
64.4,22.8,0.0029,0,0.004782
64.4,23.0,0.0066,0,0.010837
64.4,23.2,0.0119,0,0.019433
64.4,23.4,0.0169,0,0.027572
64.4,23.6,0.0189,0,0.030954
64.4,23.8,0.0168,0,0.027496
64.4,24.0,0.0118,0,0.019326
64.4,24.2,0.0066,0,0.010748
64.4,24.4,0.0029,0,0.004729
64.4,24.6,0.001,0,0.001647
64.4,24.8,0.0003,0,0.000454
64.4,25.0,0.0001,0,9.9e-05
64.4,28.2,0.0002,0,0.00036
64.4,28.4,0.0008,0,0.001348
64.4,28.6,0.0025,0,0.004069
64.4,28.8,0.0059,0,0.009975
64.4,29.0,0.0115,0,0.020044
64.4,29.2,0.0185,0,0.03333
64.4,29.4,0.0253,0,0.046189
64.4,29.6,0.0297,0,0.053477
64.4,29.8,0.03,0,0.051567
64.4,30.0,0.0258,0,0.041102
64.4,30.2,0.0186,0,0.026822
64.4,30.4,0.011,0,0.014199
64.4,30.6,0.0053,0,0.006051
64.4,30.8,0.002,0,0.002064
64.4,31.0,0.0006,0,0.000561
64.4,31.2,0.0001,0,0.00012
64.4,33.2,0.0001,0,9e-05
64.6,22.2,0.0001,0,7.5e-05
64.6,22.4,0.0002,0,0.000343
64.6,22.6,0.0008,0,0.00124
64.6,22.8,0.0024,0,0.003554
64.6,23.0,0.0054,0,0.008058
64.6,23.2,0.0098,0,0.014457
64.6,23.4,0.0139,0,0.020521
64.6,23.6,0.0156,0,0.023048
64.6,23.8,0.0138,0,0.020483
64.6,24.0,0.0097,0,0.014403
64.6,24.2,0.0054,0,0.008014
64.6,24.4,0.0024,0,0.003528
64.6,24.6,0.0008,0,0.001229
64.6,24.8,0.0002,0,0.000339
64.6,28.2,0.0002,0,0.000229
64.6,28.4,0.0006,0,0.000856
64.6,28.6,0.0017,0,0.002578
64.6,28.8,0.0041,0,0.0063
64.6,29.0,0.0078,0,0.012603
64.6,29.2,0.0124,0,0.020838
64.6,29.4,0.0166,0,0.028692
64.6,29.6,0.019,0,0.033006
64.6,29.8,0.0188,0,0.031648
64.6,30.0,0.0158,0,0.025114
64.6,30.2,0.0112,0,0.016338
64.6,30.4,0.0066,0,0.008632
64.6,30.6,0.0031,0,0.003675
64.6,30.8,0.0012,0,0.001259
64.6,31.0,0.0004,0,0.000347
64.6,31.2,0.0001,0,7.8e-05
64.6,33.4,0.0001,0,6.1e-05
64.6,33.6,0.0001,0,0.00011
64.8,22.4,0.0002,0,0.000209
64.8,22.6,0.0006,0,0.000756
64.8,22.8,0.0016,0,0.002168
64.8,23.0,0.0037,0,0.004918
64.8,23.2,0.0066,0,0.00883
64.8,23.4,0.0093,0,0.012543
64.8,23.6,0.0105,0,0.014099
64.8,23.8,0.0093,0,0.012539
64.8,24.0,0.0066,0,0.008824
64.8,24.2,0.0037,0,0.004913
64.8,24.4,0.0016,0,0.002165
64.8,24.6,0.0006,0,0.000755
64.8,24.8,0.0002,0,0.000208
64.8,28.2,0.0001,0,0.00012
64.8,28.4,0.0003,0,0.000455
64.8,28.6,0.001,0,0.001368
64.8,28.8,0.0023,0,0.003335
64.8,29.0,0.0045,0,0.006649
64.8,29.2,0.007,0,0.010944
64.8,29.4,0.0092,0,0.014992
64.8,29.6,0.0103,0,0.017157
64.8,29.8,0.0099,0,0.016375
64.8,30.0,0.0082,0,0.012947
64.8,30.2,0.0057,0,0.008407
64.8,30.4,0.0033,0,0.004444
64.8,30.6,0.0016,0,0.001905
64.8,30.8,0.0006,0,0.00067
64.8,31.0,0.0002,0,0.000205
64.8,31.2,0.0001,0,6.4e-05
65.0,22.4,0.0001,0,0.000104
65.0,22.6,0.0003,0,0.000378
65.0,22.8,0.0009,0,0.001085
65.0,23.0,0.002,0,0.002464
65.0,23.2,0.0036,0,0.004428
65.0,23.4,0.0052,0,0.006297
65.0,23.6,0.0058,0,0.007085
65.0,23.8,0.0052,0,0.006308
65.0,24.0,0.0036,0,0.004443
65.0,24.2,0.002,0,0.002477
65.0,24.4,0.0009,0,0.001092
65.0,24.6,0.0003,0,0.000381
65.0,24.8,0.0001,0,0.000105
65.0,28.4,0.0002,0,0.000202
65.0,28.6,0.0005,0,0.000607
65.0,28.8,0.0011,0,0.001479
65.0,29.0,0.0021,0,0.002942
65.0,29.2,0.0033,0,0.004827
65.0,29.4,0.0043,0,0.006586
65.0,29.6,0.0047,0,0.007506
65.0,29.8,0.0044,0,0.007139
65.0,30.0,0.0036,0,0.005636
65.0,30.2,0.0025,0,0.003666
65.0,30.4,0.0015,0,0.001967
65.0,30.6,0.0008,0,0.000898
65.0,30.8,0.0004,0,0.000394
65.0,31.0,0.0002,0,0.000204
65.0,31.2,0.0001,0,0.000133
65.0,31.4,0.0001,0,8.3e-05
65.0,31.6,0.0001,0,4.7e-05
65.2,22.6,0.0001,0,0.000155
65.2,22.8,0.0004,0,0.000445
65.2,23.0,0.0009,0,0.001013
65.2,23.2,0.0017,0,0.001823
65.2,23.4,0.0024,0,0.002596
65.2,23.6,0.0027,0,0.002925
65.2,23.8,0.0024,0,0.002607
65.2,24.0,0.0017,0,0.001839
65.2,24.2,0.0009,0,0.001027
65.2,24.4,0.0004,0,0.000453
65.2,24.6,0.0001,0,0.000158
65.2,28.4,0.0001,0,7.4e-05
65.2,28.6,0.0002,0,0.000226
65.2,28.8,0.0005,0,0.000549
65.2,29.0,0.0009,0,0.001091
65.2,29.2,0.0013,0,0.001787
65.2,29.4,0.0017,0,0.002431
65.2,29.6,0.0018,0,0.002763
65.2,29.8,0.0017,0,0.002627
65.2,30.0,0.0013,0,0.002087
65.2,30.2,0.001,0,0.001406
65.2,30.4,0.0007,0,0.000865
65.2,30.6,0.0005,0,0.000591
65.2,30.8,0.0005,0,0.000519
65.2,31.0,0.0005,0,0.000499
65.2,31.2,0.0004,0,0.000427
65.2,31.4,0.0003,0,0.0003
65.2,31.6,0.0002,0,0.000168
65.2,31.8,0.0001,0,7.5e-05
65.4,22.6,0.0001,0,5.2e-05
65.4,22.8,0.0002,0,0.00015
65.4,23.0,0.0003,0,0.000342
65.4,23.2,0.0006,0,0.000616
65.4,23.4,0.0009,0,0.000879
65.4,23.6,0.001,0,0.000992
65.4,23.8,0.0009,0,0.000886
65.4,24.0,0.0006,0,0.000626
65.4,24.2,0.0003,0,0.00035
65.4,24.4,0.0002,0,0.000155
65.4,24.6,0.0001,0,5.4e-05
65.4,28.6,0.0001,0,6.9e-05
65.4,28.8,0.0002,0,0.000171
65.4,29.0,0.0003,0,0.000339
65.4,29.2,0.0004,0,0.000555
65.4,29.4,0.0006,0,0.000754
65.4,29.6,0.0006,0,0.00086
65.4,29.8,0.0005,0,0.000831
65.4,30.0,0.0005,0,0.000712
65.4,30.2,0.0005,0,0.00063
65.4,30.4,0.0006,0,0.000714
65.4,30.6,0.0009,0,0.000989
65.4,30.8,0.0012,0,0.001309
65.4,31.0,0.0014,0,0.001451
65.4,31.2,0.0012,0,0.00129
65.4,31.4,0.0008,0,0.000912
65.4,31.6,0.0005,0,0.00051
65.4,31.8,0.0002,0,0.000226
65.4,32.0,0.0001,0,7.9e-05
65.6,23.0,0.0001,0,9.5e-05
65.6,23.2,0.0002,0,0.000171
65.6,23.4,0.0003,0,0.000244
65.6,23.6,0.0003,0,0.000276
65.6,23.8,0.0003,0,0.000247
65.6,24.0,0.0002,0,0.000175
65.6,24.2,0.0001,0,9.8e-05
65.6,29.0,0.0001,0,8.5e-05
65.6,29.2,0.0001,0,0.000145
65.6,29.4,0.0002,0,0.000196
65.6,29.6,0.0002,0,0.000234
65.6,29.8,0.0002,0,0.000265
65.6,30.0,0.0003,0,0.000362
65.6,30.2,0.0006,0,0.000673
65.6,30.4,0.0011,0,0.001344
65.6,30.6,0.002,0,0.00234
65.6,30.8,0.0028,0,0.003307
65.6,31.0,0.0032,0,0.00372
65.6,31.2,0.0028,0,0.003317
65.6,31.4,0.002,0,0.00234
65.6,31.6,0.0011,0,0.001306
65.6,31.8,0.0005,0,0.000577
65.6,32.0,0.0002,0,0.000202
65.8,23.4,0.0001,0,5.6e-05
65.8,23.6,0.0001,0,6.3e-05
65.8,23.8,0.0001,0,5.7e-05
65.8,29.8,0.0001,0,0.000165
65.8,30.0,0.0003,0,0.000467
65.8,30.2,0.001,0,0.001252
65.8,30.4,0.0022,0,0.002815
65.8,30.6,0.004,0,0.005047
65.8,30.8,0.0056,0,0.00717
65.8,31.0,0.0063,0,0.008067
65.8,31.2,0.0056,0,0.007181
65.8,31.4,0.004,0,0.005059
65.8,31.6,0.0022,0,0.002819
65.8,31.8,0.001,0,0.001243
65.8,32.0,0.0003,0,0.000434
65.8,32.2,0.0001,0,0.00012
66.0,29.8,0.0002,0,0.000223
66.0,30.0,0.0006,0,0.000795
66.0,30.2,0.0016,0,0.002267
66.0,30.4,0.0037,0,0.005143
66.0,30.6,0.0067,0,0.009231
66.0,30.8,0.0094,0,0.013109
66.0,31.0,0.0106,0,0.01473
66.0,31.2,0.0094,0,0.013096
66.0,31.4,0.0066,0,0.009213
66.0,31.6,0.0037,0,0.005128
66.0,31.8,0.0016,0,0.002259
66.0,32.0,0.0006,0,0.000787
66.0,32.2,0.0002,0,0.000217
66.2,29.8,0.0002,0,0.000337
66.2,30.0,0.0008,0,0.001221
66.2,30.2,0.0023,0,0.003498
66.2,30.4,0.0052,0,0.007933
66.2,30.6,0.0094,0,0.014222
66.2,30.8,0.0133,0,0.020176
66.2,31.0,0.015,0,0.022645
66.2,31.2,0.0133,0,0.020115
66.2,31.4,0.0093,0,0.014138
66.2,31.6,0.0052,0,0.007863
66.2,31.8,0.0023,0,0.00346
66.2,32.0,0.0008,0,0.001205
66.2,32.2,0.0002,0,0.000332
66.4,29.6,0.0001,0,9.6e-05
66.4,29.8,0.0003,0,0.000447
66.4,30.0,0.001,0,0.0016
66.4,30.2,0.0028,0,0.00456
66.4,30.4,0.0063,0,0.010304
66.4,30.6,0.0112,0,0.01845
66.4,30.8,0.0159,0,0.026149
66.4,31.0,0.0178,0,0.02933
66.4,31.2,0.0158,0,0.026033
66.4,31.4,0.0111,0,0.018285
66.4,31.6,0.0062,0,0.010161
66.4,31.8,0.0027,0,0.004469
66.4,32.0,0.0009,0,0.001555
