longitude,latitude,nu4_5,Observed Count,Smoothed Rate,ratio
61.4,27.6,0.0013,0,0.00058,0.4461538461538462
61.4,27.7,0.0014,0,0.0006034,0.43100000000000005
61.4,27.8,0.0013,0,0.0005924,0.4556923076923077
61.4,27.9,0.0012,0,0.0005487,0.45725
61.5,26.6,0.0001,0,2.38e-05,0.238
61.5,26.7,0.0001,0,4.54e-05,0.45399999999999996
61.5,26.8,0.0002,0,7.93e-05,0.3965
61.5,26.9,0.0003,0,0.0001309,0.4363333333333334
61.5,27.0,0.0005,0,0.0002037,0.4074
61.5,27.1,0.0007,0,0.000299,0.42714285714285716
61.5,27.2,0.0009,0,0.0004141,0.4601111111111111
61.5,27.3,0.0012,0,0.0005408,0.4506666666666667
61.5,27.4,0.0015,0,0.0006663,0.4442
61.5,27.5,0.0018,0,0.0007744,0.43022222222222223
61.5,27.6,0.0019,0,0.0008489,0.4467894736842105
61.5,27.7,0.002,0,0.0008779,0.43895
61.5,27.8,0.0019,0,0.0008564,0.45073684210526316
61.5,27.9,0.0018,0,0.0007881,0.43783333333333335
61.6,26.6,0.0001,0,3.69e-05,0.369
61.6,26.7,0.0002,0,6.84e-05,0.34199999999999997
61.6,26.8,0.0003,0,0.0001205,0.4016666666666667
61.6,26.9,0.0005,0,0.0001985,0.397
61.6,27.0,0.0007,0,0.0003084,0.4405714285714286
61.6,27.1,0.001,0,0.0004518,0.4518
61.6,27.2,0.0014,0,0.0006244,0.446
61.6,27.3,0.0019,0,0.0008138,0.42831578947368426
61.6,27.4,0.0023,0,0.0010005,0.43500000000000005
61.6,27.5,0.0026,0,0.0011601,0.4461923076923077
61.6,27.6,0.0029,0,0.0012688,0.4375172413793104
61.6,27.7,0.003,0,0.0013089,0.43629999999999997
61.6,27.8,0.0029,0,0.0012736,0.43917241379310346
61.6,27.9,0.0027,0,0.0011688,0.4328888888888889
61.6,28.0,0.0023,0,0.0010118,0.4399130434782609
61.7,26.5,0.0001,0,2.79e-05,0.27899999999999997
61.7,26.6,0.0001,0,5.48e-05,0.5479999999999999
61.7,26.7,0.0002,0,0.0001013,0.5065
61.7,26.8,0.0004,0,0.0001768,0.44199999999999995
61.7,26.9,0.0007,0,0.0002909,0.4155714285714286
61.7,27.0,0.001,0,0.0004531,0.4531
61.7,27.1,0.0015,0,0.0006632,0.4421333333333333
