YEAR	MONTH	DAY	HH	MM	SS	LAT	LON	DEPTH	DEPTH_ERR	NMAG_TYPE	MAG	MAG_ERR	MAG_MW	MAG_MW_ERR	SOURCE	SHOCK_TYPE
1928	8	10	15	33	48	36.5	70.5	230	-1	MS	6.8	-1	6.6	0.22	ISC	Foreshock
1928	8	19	3	54	-1	30	64	-1	-1	MS	5.2	-1	5.5	-1	AB2003a	Mainshock
1928	8	21	19	2	-1	32.32	58.69	-1	-1	MS	5.55	-1	5.7	-1	AB2003a	Mainshock
1928	9	1	6	9	-1	28.77	69.57	33	-1	MS	6.45	-1	6.4	-1	AB2003a	Mainshock
1928	10	15	14	19	-1	28.5	67.4	33	-1	MS	6.7	-1	6.6	-1	AB2003a	Mainshock
1928	11	5	-1	-1	-1	18.8	72.9	-1	-1	MW	3.3	-1	3.2	0.46	JS2004a	Mainshock
1928	11	14	4	33	9	35	72.5	110	-1	MS	6	-1	6.1	0.21	ISC	Mainshock
1928	12	8	-1	-1	-1	10.8	79.8	-1	-1	MW	3.3	-1	3.2	0.46	JS2004a	Mainshock
1928	12	10	4	33	38	3	98	35	-1	MS	6	-1	6.1	0.21	ISC	Mainshock
1928	12	12	12	5	-1	29.68	69.12	17	-1	MS	5.29	-1	5.6	-1	AB2003a	Mainshock
1928	12	14	2	8	-1	28.81	68.08	33	-1	MS	5.64	-1	5.8	-1	AB2003a	Mainshock
1929	1	1	13	38	18	9.5	62	35	-1	MS	5.6	-1	5.8	0.21	ISC	Mainshock
1929	2	1	17	14	26	36.5	70.5	220	-1	MS	7.1	-1	6.8	0.22	ISC	Mainshock
1929	2	16	-1	-1	-1	18	72.8	-1	-1	MW	4.1	-1	4	0.46	JS2004a	Mainshock
1929	3	3	3	11	2	36.5	71	250	-1	MS	6.2	-1	6.2	0.21	ISC	Mainshock
1929	3	13	11	1	37	36.5	70	200	-1	MS	5.8	-1	5.9	0.21	ISC	Aftershock
1929	3	25	3	47	4	29	94.5	35	-1	MS	5.6	-1	5.8	0.21	ISC	Mainshock
1929	3	26	14	-1	-1	28	62	-1	-1	MS	5.1	-1	5.4	-1	AB2003a	Mainshock
1929	4	10	-1	-1	-1	25	77.5	-1	-1	MW	5.1	-1	5	0.46	JS2004a	Mainshock
1929	5	1	15	37	30	37.8	57.6	20	-1	MS	7.2	-1	7.1	-1	UL2006a	Mainshock
1929	5	1	22	42	0	37.3	58.2	-1	-1	MS	4.8	-1	5.2	-1	AB2003a	Aftershock
1929	5	3	16	20	-1	37.7	58.2	-1	-1	MS	5.1	-1	5.4	-1	AB2003a	Aftershock
1929	5	4	6	31	-1	37.6	58.2	-1	-1	MS	4.9	-1	5.3	-1	AB2003a	Aftershock
1929	6	4	7	4	-1	37.3	66.5	14	-1	MS	5.7	-1	5.8	-1	AB2003a	Mainshock
1929	7	13	7	36	-1	37.24	58.22	-1	-1	MS	6.07	-1	6.1	-1	AB2003a	Mainshock
1929	8	1	5	1	48	10	93	35	-1	MS	6.5	-1	6.4	0.22	ISC	Mainshock
1929	8	8	-1	-1	-1	19	96.5	-1	-1	~MS	7	-1	7	0.3	MD1984a	Mainshock
1929	9	3	12	7	39	26.5	62.25	110	-1	MS	6.5	-1	6.4	0.22	ISC	Mainshock
1929	12	9	6	49	54	4.5	94.5	35	-1	MS	6.8	-1	6.6	0.22	ISC	Mainshock
1930	5	5	13	45	57	17	96.5	35	-1	MS	7.3	-1	7.2	0.22	ISC; MD1984a	Mainshock
1930	5	11	22	35	46	27.5	55	35	-1	MS	6	-1	6.1	0.21	ISC	Mainshock
1930	6	25	-1	-1	-1	25	77.5	-1	-1	MW	4.9	-1	4.8	0.46	JS2004a	Mainshock
