YEAR	MONTH	DAY	HH	MM	SS	LAT	LON	DEPTH	DEPTH_ERR	NMAG_TYPE	MAG	MAG_MW	MAG_MW_ERR	SOURCE
1859	8	24	-1	-1	-1	18.1	83.5	-1	-1	MW	3.8	3.7	-1	JS2004a
1859	12	17	-1	-1	-1	11.6	78.1	-1	-1	MW	3.8	3.7	-1	JS2004a
1859	12	17	-1	-1	-1	12.5	78.6	-1	-1	MW	3.8	3.7	-1	JS2004a
1860	1	17	-1	-1	-1	11.9	78.2	-1	-1	MW	3.8	3.7	-1	JS2004a
1860	2	2	-1	-1	-1	13.7	79.4	-1	-1	MW	4.2	4.1	-1	JS2004a
1860	2	25	-1	-1	-1	19.4	84.9	-1	-1	MW	4.2	4.1	-1	JS2004a
1860	4	27	-1	-1	-1	21.2	72.9	-1	-1	MW	3.2	3.1	-1	JS2004a
1861	2	16	-1	-1	-1	22.6	88.4	-1	-1	MW	4.9	4.8	-1	JS2004a
1861	3	4	-1	-1	-1	11.9	78.2	-1	-1	MW	4.2	4.1	-1	JS2004a
1861	4	18	-1	-1	-1	22.6	88.4	-1	-1	MW	3.8	3.7	-1	JS2004a
1861	7	24	-1	-1	-1	16.4	79.3	-1	-1	MW	3.8	3.7	-1	JS2004a
1861	7	31	-1	-1	-1	25.4	83	-1	-1	MW	4.7	4.6	-1	JS2004a
1861	11	13	-1	-1	-1	18.1	83.4	-1	-1	MW	3.3	3.2	-1	JS2004a
1862	1	13	-1	-1	-1	16.4	79.3	-1	-1	MW	3.8	3.7	-1	JS2004a
1862	2	-1	-1	-1	-1	25.7	100.2	-1	-1	~MS	5.5	5.7	-1	LEE1976a
1862	11	18	-1	-1	-1	20.9	74.8	-1	-1	MW	3.8	3.7	-1	JS2004a
1863	6	-1	-1	-1	-1	26	100.1	-1	-1	~MS	5.5	5.7	-1	LEE1976a
1863	11	18	-1	-1	-1	21.8	75.3	-1	-1	MW	5.2	5.1	-1	JS2004a
1864	1	5	-1	-1	-1	10.8	78.7	-1	-1	MW	3.8	3.7	-1	JS2004a
1864	4	29	-1	-1	-1	22.3	72.8	-1	-1	MW	4.6	4.5	-1	JS2004a
1864	8	30	-1	-1	-1	25.6	85.2	-1	-1	MW	4.2	4.1	-1	JS2004a
1865	6	4	-1	-1	-1	12.3	76.6	-1	-1	MW	3.8	3.7	-1	JS2004a
1865	6	24	-1	-1	-1	10.8	76.8	-1	-1	MW	3.8	3.7	-1	JS2004a
1865	8	2	-1	-1	-1	12.7	78.7	-1	-1	MW	4.2	4.1	-1	JS2004a
1865	12	20	-1	-1	-1	24.4	88.7	-1	-1	MW	3.8	3.7	-1	JS2004a
1865	12	25	-1	-1	-1	23.4	88.5	-1	-1	MW	4.7	4.6	-1	JS2004a
1865	12	31	-1	-1	-1	18.9	72.9	-1	-1	MW	3.8	3.7	-1	JS2004a
1866	1	23	-1	-1	-1	21.8	87.8	-1	-1	MW	4.7	4.6	-1	JS2004a
1866	5	23	-1	-1	-1	25	87	-1	-1	MW	5.3	6.0-7.0	-1	JS2004a
1867	1	3	-1	-1	-1	16.1	79.6	-1	-1	MW	3.8	3.7	-1	JS2004a
1867	3	11	-1	-1	-1	16	80.3	-1	-1	MW	3.8	3.7	-1	JS2004a
1867	7	3	-1	-1	-1	12	79.6	-1	-1	MW	5.6	5.5	-1	JS2004a
1868	7	31	-1	-1	-1	24	85.4	-1	-1	MW	4.2	4.1	-1	JS2004a
1868	9	30	-1	-1	-1	24	85	-1	-1	MW	4.9	4.8	-1	JS2004a
1868	11	16	-1	-1	-1	23.1	79	-1	-1	MW	3.3	3.2	-1	JS2004a
