# generated_by='OpenQuake engine 3.6.0-git0a9a15a30a', start_date='2019-07-02T14:45:40', checksum=2592108751, kind='mean', investigation_time=1.0
lon,lat,PGA-0.002105,PGA-0.00040397,SA(0.2)-0.002105,SA(0.2)-0.00040397,SA(1.0)-0.002105,SA(1.0)-0.00040397
70.40000,21.80000,1.645248E-01,3.589973E-01,2.619396E-01,5.499892E-01,6.501286E-02,1.409569E-01
70.40000,22.00000,1.671127E-01,3.612218E-01,2.692565E-01,5.590545E-01,6.893408E-02,1.478160E-01
70.40000,22.20000,1.776369E-01,3.835841E-01,2.876009E-01,5.973451E-01,7.421669E-02,1.601768E-01
70.40000,22.40000,1.951520E-01,4.207669E-01,3.165246E-01,6.604227E-01,8.153077E-02,1.796333E-01
70.40000,22.60000,2.320634E-01,4.998576E-01,3.687145E-01,7.781525E-01,9.276824E-02,2.130185E-01
70.40000,22.80000,2.852275E-01,6.155789E-01,4.443133E-01,9.500127E-01,1.082582E-01,2.604294E-01
70.40000,23.00000,3.414399E-01,7.277693E-01,5.237924E-01,1.115505E+00,1.257724E-01,3.105980E-01
70.40000,23.20000,3.899778E-01,8.223492E-01,5.947324E-01,1.255796E+00,1.426122E-01,3.538425E-01
70.40000,23.40000,4.220450E-01,8.842890E-01,6.419459E-01,1.347394E+00,1.542855E-01,3.820423E-01
70.40000,23.60000,4.305284E-01,9.011573E-01,6.548474E-01,1.372352E+00,1.580213E-01,3.906192E-01
70.40000,23.80000,4.155007E-01,8.730451E-01,6.336144E-01,1.331073E+00,1.540960E-01,3.794687E-01
70.40000,24.00000,3.840788E-01,8.129006E-01,5.889000E-01,1.243074E+00,1.446605E-01,3.545205E-01
70.40000,24.20000,3.464684E-01,7.400954E-01,5.356044E-01,1.136871E+00,1.330666E-01,3.239680E-01
70.40000,25.80000,1.656288E-01,3.922900E-01,2.781852E-01,6.288689E-01,7.604048E-02,1.770094E-01
70.40000,26.00000,1.628135E-01,3.868458E-01,2.730016E-01,6.193721E-01,7.410113E-02,1.729750E-01
70.40000,26.20000,1.641801E-01,3.926556E-01,2.735287E-01,6.256230E-01,7.329668E-02,1.729150E-01
70.40000,26.40000,1.642329E-01,3.942109E-01,2.725409E-01,6.262920E-01,7.268440E-02,1.727388E-01
70.40000,26.60000,1.594302E-01,3.809678E-01,2.654103E-01,6.061826E-01,7.166269E-02,1.694184E-01
70.40000,26.80000,1.504253E-01,3.534866E-01,2.531242E-01,5.659608E-01,7.043357E-02,1.633499E-01
70.40000,27.00000,1.404166E-01,3.203254E-01,2.405295E-01,5.190237E-01,6.979649E-02,1.577722E-01
70.40000,27.20000,1.331021E-01,2.906151E-01,2.321215E-01,4.794680E-01,7.067752E-02,1.565245E-01
70.40000,27.40000,1.300604E-01,2.716953E-01,2.306078E-01,4.565423E-01,7.381424E-02,1.623358E-01
70.40000,27.60000,1.325934E-01,2.673687E-01,2.381425E-01,4.579861E-01,7.991164E-02,1.768494E-01
70.40000,27.80000,1.424796E-01,2.821672E-01,2.573481E-01,4.900681E-01,8.955383E-02,2.005776E-01
70.40000,28.00000,1.610969E-01,3.183030E-01,2.908919E-01,5.563429E-01,1.028821E-01,2.329304E-01
70.60000,20.80000,1.681812E-01,3.752638E-01,2.575967E-01,5.638417E-01,5.446303E-02,1.302105E-01
70.60000,21.00000,1.813035E-01,4.019105E-01,2.755708E-01,6.020918E-01,5.815351E-02,1.391571E-01
70.60000,21.20000,1.877582E-01,4.139959E-01,2.850948E-01,6.199903E-01,6.102322E-02,1.444912E-01
70.60000,21.40000,1.867704E-01,4.103491E-01,2.853616E-01,6.160454E-01,6.301302E-02,1.459920E-01
70.60000,21.60000,1.814440E-01,3.973064E-01,2.805866E-01,5.996121E-01,6.469354E-02,1.457658E-01
70.60000,21.80000,1.764036E-01,3.846074E-01,2.768813E-01,5.848215E-01,6.679957E-02,1.467054E-01
70.60000,22.00000,1.751480E-01,3.793341E-01,2.788691E-01,5.823627E-01,6.975858E-02,1.509635E-01
70.60000,22.20000,1.804921E-01,3.898822E-01,2.903315E-01,6.040114E-01,7.404342E-02,1.600479E-01
70.60000,22.40000,1.922854E-01,4.133257E-01,3.115938E-01,6.478831E-01,8.014396E-02,1.756317E-01
70.60000,22.60000,2.229864E-01,4.784272E-01,3.554323E-01,7.460076E-01,8.977956E-02,2.039088E-01
70.60000,22.80000,2.699720E-01,5.818576E-01,4.222011E-01,8.996036E-01,1.036434E-01,2.462860E-01
70.60000,23.00000,3.222271E-01,6.886392E-01,4.964434E-01,1.057228E+00,1.194426E-01,2.923250E-01
70.60000,23.20000,3.691324E-01,7.805111E-01,5.640194E-01,1.193338E+00,1.350884E-01,3.347399E-01
70.60000,23.40000,4.011956E-01,8.438034E-01,6.109521E-01,1.286760E+00,1.466380E-01,3.632321E-01
70.60000,23.60000,4.111944E-01,8.647222E-01,6.259336E-01,1.317633E+00,1.509384E-01,3.736619E-01
70.60000,23.80000,3.982487E-01,8.412963E-01,6.077730E-01,1.283358E+00,1.476376E-01,3.649341E-01
70.60000,24.00000,3.687540E-01,7.849417E-01,5.660489E-01,1.201216E+00,1.388822E-01,3.421335E-01
70.60000,24.20000,3.329913E-01,7.151346E-01,5.156565E-01,1.099759E+00,1.281914E-01,3.127719E-01
70.60000,25.80000,1.735917E-01,4.086331E-01,2.900622E-01,6.539199E-01,7.819784E-02,1.826907E-01
70.60000,26.00000,1.767724E-01,4.178473E-01,2.931187E-01,6.655070E-01,7.759617E-02,1.830278E-01
70.60000,26.20000,1.832720E-01,4.358511E-01,3.007638E-01,6.889055E-01,7.791954E-02,1.868566E-01
70.60000,26.40000,1.860666E-01,4.439103E-01,3.035772E-01,6.985564E-01,7.781822E-02,1.887765E-01
70.60000,26.60000,1.808786E-01,4.307644E-01,2.957264E-01,6.804149E-01,7.645148E-02,1.850682E-01
70.60000,26.80000,1.686820E-01,3.978359E-01,2.785445E-01,6.315408E-01,7.411449E-02,1.761862E-01
70.60000,27.00000,1.540332E-01,3.557327E-01,2.583837E-01,5.694731E-01,7.184868E-02,1.660065E-01
70.60000,27.20000,1.408308E-01,3.148411E-01,2.414045E-01,5.114620E-01,7.085200E-02,1.591992E-01
70.60000,27.40000,1.318806E-01,2.824240E-01,2.311691E-01,4.684074E-01,7.192006E-02,1.589615E-01
