siteid,lon,lat,prob40,prob30,prob20,prob15,prob10,prob9,prob8,prob7,prob6,prob5,prob4,prob3,prob2,prob1,prob_pt8,prob_pt6,prob_pt5,
1327,79.6,17.4,0.027699,0.049857,0.078923,0.122888,0.157397,0.212115,0.227665,0.245756,0.267209,0.293277,0.326002,0.368998,0.429509,0.525177,0.718923,0.78988,0.887791,0.953627
1328,79.8,17.4,0.033992,0.057443,0.088132,0.134689,0.17128,0.229296,0.245774,0.264942,0.287665,0.315271,0.349918,0.395428,0.459426,0.560463,0.764819,0.839596,0.942707,1.01201
1329,80,17.4,0.042057,0.066348,0.098215,0.14665,0.184741,0.245144,0.262302,0.282261,0.305924,0.334674,0.370752,0.418122,0.484721,0.589889,0.802765,0.880703,0.988251,1.0606
1330,80.2,17.4,0.052066,0.079191,0.114524,0.167682,0.209072,0.274098,0.292455,0.313752,0.338927,0.369402,0.407491,0.457276,0.526894,0.636076,0.854621,0.933943,1.042861,1.115815
1331,80.4,17.4,0.05936,0.088408,0.126058,0.182291,0.225771,0.293645,0.31272,0.334804,0.36085,0.392306,0.43152,0.482627,0.55386,0.665069,0.88624,0.966137,1.075577,1.148713
1332,80.6,17.4,0.062119,0.091639,0.129915,0.187082,0.231273,0.300216,0.319581,0.341995,0.368422,0.400328,0.440089,0.491889,0.564049,0.676609,0.900233,0.980966,1.091517,1.165381
1333,80.8,17.4,0.056784,0.08273,0.118974,0.173202,0.21526,0.281173,0.299758,0.321309,0.34677,0.377585,0.416095,0.46643,0.536838,0.647327,0.868901,0.949476,1.060247,1.13451
1334,81,17.4,0.053089,0.074768,0.109083,0.16444,0.207287,0.274375,0.293288,0.315226,0.341152,0.372543,0.411784,0.463097,0.534897,0.647638,0.874154,0.956625,1.070012,1.14602
1335,81.2,17.4,0.042799,0.062069,0.093963,0.148407,0.190643,0.25703,0.275805,0.297613,0.323433,0.354761,0.39403,0.445528,0.51784,0.631882,0.862596,0.947011,1.063406,1.14165
1336,81.4,17.4,0.035492,0.053017,0.078405,0.134908,0.178273,0.245939,0.264997,0.2871,0.313228,0.344878,0.384486,0.436368,0.509169,0.623923,0.855715,0.94051,1.057474,1.136106
1337,81.6,17.4,0.027975,0.04333,0.064842,0.121073,0.163779,0.229939,0.248505,0.27001,0.295399,0.326115,0.364512,0.414757,0.485218,0.596324,0.821039,0.903351,1.016987,1.093475
1338,81.8,17.4,0.023002,0.036866,0.055133,0.109684,0.151338,0.215455,0.233385,0.254127,0.278588,0.308152,0.34507,0.393341,0.460989,0.567596,0.78344,0.862616,0.971985,1.045638
1339,82,17.4,0.019774,0.032782,0.049844,0.099045,0.138301,0.19857,0.215404,0.234872,0.257825,0.28556,0.320194,0.365483,0.42897,0.52912,0.732254,0.806931,0.910252,0.979925
1340,82.2,17.4,0.017336,0.030001,0.046524,0.08893,0.125385,0.181429,0.197102,0.215238,0.236639,0.262522,0.294873,0.337221,0.396662,0.490601,0.681627,0.75194,0.849336,0.915102
1341,82.4,17.4,0.014604,0.027177,0.043476,0.080332,0.113395,0.164315,0.178574,0.195085,0.214577,0.238169,0.267682,0.306343,0.360637,0.446473,0.621147,0.685418,0.774379,0.834424
1342,82.6,17.4,0.010977,0.023405,0.039404,0.071379,0.100767,0.14613,0.158851,0.173592,0.191008,0.212106,0.238526,0.273182,0.321934,0.399144,0.556648,0.614735,0.69521,0.749554
1343,82.8,17.4,0.007119,0.019677,0.0357,0.065771,0.092593,0.133874,0.145426,0.158799,0.174582,0.193676,0.217554,0.248824,0.292733,0.362124,0.5031,0.554901,0.626544,0.67486
1344,73.2,17.6,0.245053,0.299826,0.372145,0.480994,0.564868,0.694341,0.730346,0.771818,0.820437,0.87874,0.950802,1.043724,1.171439,1.367103,1.745421,1.879144,2.060059,2.17961
1345,73.4,17.6,0.268514,0.327514,0.405209,0.521837,0.611501,0.749601,0.787952,0.832101,0.883823,0.945801,1.022339,1.120929,1.256269,1.463308,1.862767,2.003668,2.194067,2.319749
1346,73.6,17.6,0.28603,0.348744,0.431115,0.554382,0.64888,0.794048,0.834289,0.880573,0.934743,0.999584,1.079559,1.182429,1.323397,1.53852,1.951735,2.09693,2.292691,2.421641
1347,73.8,17.6,0.293905,0.358572,0.443421,0.570257,0.667403,0.816526,0.857835,0.905334,0.960911,1.027416,1.10942,1.214866,1.359305,1.579544,2.002115,2.150483,2.350443,2.48211
1348,74,17.6,0.293125,0.35841,0.444045,0.571987,0.669928,0.820173,0.861771,0.909591,0.965527,1.032443,1.114921,1.220935,1.36606,1.587152,2.010761,2.159331,2.359445,2.491141
1349,74.2,17.6,0.274834,0.337991,0.421086,0.545654,0.641295,0.788415,0.829222,0.876168,0.93113,0.996936,1.078124,1.182599,1.325829,1.544451,1.964481,2.112126,2.311252,2.442455
1350,74.4,17.6,0.238313,0.295912,0.372075,0.486917,0.575516,0.712462,0.750576,0.794486,0.84597,0.907714,0.984027,1.082415,1.217624,1.424702,1.824312,1.96522,2.155597,2.281246
1351,74.6,17.6,0.187482,0.23635,0.301532,0.400999,0.478564,0.599582,0.633488,0.672672,0.718774,0.77427,0.843144,0.932367,1.055682,1.245957,1.617622,1.7499,1.929519,2.048636
1352,74.8,17.6,0.125911,0.160409,0.20676,0.278387,0.335071,0.424909,0.450364,0.479926,0.514905,0.557296,0.610339,0.679738,0.776842,0.929166,1.234576,1.345613,1.498182,1.600421
1353,75,17.6,0.099399,0.127319,0.164628,0.222083,0.267521,0.339654,0.36013,0.383932,0.412125,0.446336,0.489206,0.545404,0.624277,0.748567,0.999568,1.091376,1.218021,1.303217
1354,75.2,17.6,0.090133,0.115676,0.149677,0.201785,0.242829,0.307774,0.326176,0.34755,0.372846,0.403513,0.441901,0.492159,0.562578,0.673342,0.896539,0.978005,1.090223,1.165604
1355,75.4,17.6,0.084762,0.110095,0.143824,0.195532,0.236266,0.300713,0.318967,0.340167,0.36525,0.395649,0.433685,0.48346,0.553152,0.662648,0.882857,0.963141,1.073652,1.147843
1356,75.6,17.6,0.090564,0.118583,0.155888,0.212955,0.257754,0.328309,0.348217,0.371293,0.398542,0.431488,0.472599,0.52622,0.600986,0.7177,0.949924,1.03385,1.148808,1.225626
1357,75.8,17.6,0.094156,0.124798,0.1656,0.228031,0.277055,0.354247,0.376024,0.40127,0.43108,0.467129,0.512121,0.570815,0.652652,0.780435,1.034761,1.126694,1.252631,1.33679
1358,76,17.6,0.099938,0.134703,0.180655,0.250469,0.304987,0.390443,0.414486,0.442327,0.475165,0.514819,0.564223,0.628536,0.717995,0.857271,1.133106,1.232398,1.3681,1.458612
