ordinal,branch_path,weight
93,b1m1~b1m3_b2m2_b3m1_b4m4_b5m3_b6m2_b7m2_b9m1_b8m4,3.3333334e-05
94,b1m1~b1m4_b2m1_b3m2_b4m3_b5m3_b6m3_b7m3_b9m1_b8m1,3.3333334e-05
95,b1m1~b1m2_b2m5_b3m4_b4m3_b5m1_b6m1_b7m1_b9m3_b8m4,3.3333334e-05
96,b1m1~b1m3_b2m1_b3m2_b4m4_b5m2_b6m1_b7m2_b9m1_b8m3,3.3333334e-05
97,b1m1~b1m2_b2m4_b3m3_b4m1_b5m4_b6m1_b7m4_b9m1_b8m1,3.3333334e-05
98,b1m1~b1m1_b2m1_b3m3_b4m1_b5m1_b6m2_b7m3_b9m2_b8m3,3.3333334e-05
99,b1m1~b1m1_b2m3_b3m1_b4m3_b5m3_b6m1_b7m2_b9m1_b8m4,3.3333334e-05
100,b1m1~b1m1_b2m1_b3m3_b4m3_b5m1_b6m1_b7m3_b9m3_b8m4,3.3333334e-05
101,b1m1~b1m3_b2m3_b3m3_b4m4_b5m3_b6m2_b7m4_b9m2_b8m1,3.3333334e-05
102,b1m1~b1m2_b2m2_b3m2_b4m1_b5m3_b6m2_b7m1_b9m3_b8m1,3.3333334e-05
103,b1m1~b1m3_b2m1_b3m1_b4m3_b5m3_b6m3_b7m4_b9m3_b8m3,3.3333334e-05
104,b1m1~b1m4_b2m4_b3m1_b4m3_b5m2_b6m3_b7m1_b9m1_b8m4,3.3333334e-05
105,b1m1~b1m1_b2m5_b3m4_b4m4_b5m4_b6m1_b7m2_b9m1_b8m3,3.3333334e-05
106,b1m1~b1m2_b2m4_b3m1_b4m4_b5m2_b6m1_b7m4_b9m2_b8m4,3.3333334e-05
107,b1m1~b1m4_b2m1_b3m1_b4m2_b5m4_b6m1_b7m2_b9m2_b8m1,3.3333334e-05
108,b1m1~b1m1_b2m5_b3m3_b4m2_b5m1_b6m3_b7m3_b9m2_b8m2,3.3333334e-05
109,b1m1~b1m1_b2m2_b3m3_b4m1_b5m3_b6m2_b7m3_b9m2_b8m3,3.3333334e-05
110,b1m1~b1m2_b2m1_b3m4_b4m1_b5m3_b6m3_b7m3_b9m3_b8m2,3.3333334e-05
111,b1m1~b1m1_b2m4_b3m1_b4m4_b5m3_b6m2_b7m1_b9m2_b8m2,3.3333334e-05
112,b1m1~b1m4_b2m4_b3m3_b4m2_b5m3_b6m1_b7m1_b9m1_b8m3,3.3333334e-05
113,b1m1~b1m4_b2m2_b3m1_b4m3_b5m3_b6m2_b7m1_b9m3_b8m4,3.3333334e-05
114,b1m1~b1m3_b2m3_b3m3_b4m3_b5m3_b6m3_b7m2_b9m1_b8m2,3.3333334e-05
115,b1m1~b1m4_b2m3_b3m2_b4m3_b5m4_b6m2_b7m2_b9m3_b8m3,3.3333334e-05
116,b1m1~b1m4_b2m2_b3m1_b4m2_b5m1_b6m3_b7m1_b9m2_b8m3,3.3333334e-05
117,b1m1~b1m1_b2m4_b3m3_b4m4_b5m3_b6m3_b7m2_b9m3_b8m4,3.3333334e-05
118,b1m1~b1m4_b2m3_b3m4_b4m2_b5m3_b6m2_b7m2_b9m3_b8m4,3.3333334e-05
119,b1m1~b1m3_b2m1_b3m4_b4m1_b5m3_b6m2_b7m1_b9m2_b8m1,3.3333334e-05
120,b1m1~b1m4_b2m2_b3m1_b4m3_b5m2_b6m2_b7m3_b9m2_b8m1,3.3333334e-05
121,b1m1~b1m4_b2m3_b3m4_b4m3_b5m3_b6m3_b7m4_b9m4_b8m4,3.3333334e-05
122,b1m1~b1m2_b2m2_b3m2_b4m2_b5m4_b6m1_b7m1_b9m3_b8m1,3.3333334e-05
123,b1m1~b1m1_b2m3_b3m1_b4m4_b5m1_b6m3_b7m3_b9m2_b8m3,3.3333334e-05
124,b1m1~b1m1_b2m5_b3m3_b4m1_b5m4_b6m3_b7m2_b9m1_b8m2,3.3333334e-05
125,b1m1~b1m2_b2m4_b3m3_b4m1_b5m3_b6m3_b7m1_b9m2_b8m2,3.3333334e-05
126,b1m1~b1m4_b2m2_b3m2_b4m2_b5m4_b6m1_b7m1_b9m3_b8m4,3.3333334e-05
127,b1m1~b1m4_b2m3_b3m1_b4m4_b5m2_b6m3_b7m1_b9m4_b8m2,3.3333334e-05
128,b1m1~b1m1_b2m1_b3m1_b4m3_b5m1_b6m3_b7m3_b9m4_b8m1,3.3333334e-05
129,b1m1~b1m3_b2m1_b3m1_b4m4_b5m2_b6m3_b7m2_b9m1_b8m2,3.3333334e-05
130,b1m1~b1m2_b2m4_b3m2_b4m2_b5m3_b6m1_b7m4_b9m2_b8m3,3.3333334e-05
131,b1m1~b1m1_b2m5_b3m2_b4m4_b5m1_b6m1_b7m4_b9m3_b8m2,3.3333334e-05
132,b1m1~b1m1_b2m3_b3m2_b4m3_b5m2_b6m2_b7m2_b9m1_b8m3,3.3333334e-05
133,b1m1~b1m2_b2m2_b3m4_b4m1_b5m1_b6m1_b7m2_b9m4_b8m1,3.3333334e-05
134,b1m1~b1m4_b2m4_b3m4_b4m2_b5m3_b6m3_b7m4_b9m1_b8m2,3.3333334e-05
135,b1m1~b1m2_b2m2_b3m2_b4m4_b5m2_b6m3_b7m1_b9m2_b8m3,3.3333334e-05
136,b1m1~b1m3_b2m1_b3m2_b4m3_b5m1_b6m1_b7m1_b9m3_b8m2,3.3333334e-05
137,b1m1~b1m3_b2m5_b3m1_b4m1_b5m4_b6m3_b7m3_b9m2_b8m2,3.3333334e-05
138,b1m1~b1m2_b2m3_b3m2_b4m1_b5m2_b6m2_b7m2_b9m2_b8m2,3.3333334e-05
