siteid,lon,lat,prob40,prob30,prob20,prob15,prob10,prob9,prob8,prob7,prob6,prob5,prob4,prob3,prob2,prob1,prob_pt8,prob_pt6,prob_pt5
5211,71.6,26,0.076302,0.103425,0.147168,0.18291,0.240984,0.257684,0.27719,0.300406,0.328713,0.364352,0.411289,0.477446,0.582097,0.79403,0.871546,0.978372,1.050152
5212,71.8,26,0.068768,0.09417,0.135255,0.168929,0.223822,0.239646,0.258146,0.280191,0.307105,0.341043,0.385822,0.449083,0.549481,0.753909,0.828986,0.932663,1.002453
5213,72,26,0.060072,0.083268,0.120962,0.15199,0.202781,0.217465,0.234653,0.255163,0.280241,0.311918,0.353797,0.413108,0.507551,0.700934,0.772292,0.871103,0.937768
5214,72.2,26,0.05559,0.077469,0.112937,0.142059,0.189614,0.203339,0.219395,0.238538,0.261927,0.291442,0.330411,0.385504,0.473007,0.651465,0.717088,0.807794,0.868899
5215,72.4,26,0.044669,0.063392,0.093881,0.119049,0.16041,0.172405,0.186469,0.20328,0.223878,0.249958,0.284536,0.333677,0.412274,0.57431,0.634423,0.717936,0.774471
5216,72.6,26,0.039262,0.056449,0.084441,0.107549,0.145507,0.15651,0.169408,0.184821,0.203698,0.22759,0.259253,0.304226,0.376096,0.523949,0.578679,0.654609,0.705933
5217,72.8,26,0.036203,0.052521,0.078882,0.10051,0.135852,0.146062,0.158012,0.172269,0.189699,0.211711,0.240801,0.281976,0.347483,0.481375,0.530644,0.598736,0.644603
5218,73,26,0.030524,0.045272,0.069124,0.088727,0.120838,0.130131,0.141015,0.154012,0.169919,0.19003,0.216648,0.254388,0.314544,0.437804,0.48328,0.54621,0.588632
5219,73.2,26,0.02843,0.042222,0.064356,0.08246,0.112006,0.120539,0.130526,0.142443,0.157014,0.175418,0.199751,0.234209,0.289048,0.401054,0.442229,0.499099,0.537387
5220,73.4,26,0.025944,0.038824,0.059355,0.076086,0.103338,0.111199,0.120398,0.131369,0.144781,0.161718,0.184106,0.215807,0.266272,0.369498,0.407493,0.459984,0.495319
5221,73.6,26,0.024386,0.03671,0.056157,0.071883,0.097357,0.104684,0.113247,0.123447,0.135898,0.151599,0.17232,0.201606,0.248135,0.343113,0.378055,0.426341,0.458861
5222,73.8,26,0.023262,0.035278,0.054082,0.069195,0.093549,0.100532,0.108684,0.118382,0.130207,0.145096,0.164715,0.192394,0.236264,0.325526,0.358288,0.403513,0.433947
5223,74,26,0.02404,0.036526,0.055713,0.070888,0.095007,0.10186,0.109828,0.119271,0.130729,0.145082,0.163879,0.190211,0.231567,0.314569,0.344707,0.386062,0.413744
5224,74.2,26,0.020863,0.032969,0.051714,0.066528,0.090065,0.096752,0.104528,0.113742,0.124924,0.138933,0.157286,0.183004,0.223413,0.304583,0.33408,0.374575,0.401692
5225,74.4,26,0.020166,0.029824,0.048566,0.063325,0.086707,0.093339,0.101045,0.110169,0.121232,0.135079,0.1532,0.178558,0.218343,0.298087,0.327009,0.366674,0.39321
5226,74.6,26,0.020166,0.029381,0.045639,0.059273,0.082421,0.088983,0.096605,0.105629,0.116569,0.130262,0.148182,0.173258,0.212604,0.291508,0.320146,0.359432,0.385723
5227,74.8,26,0.020166,0.029234,0.045459,0.058479,0.079402,0.085386,0.092527,0.101483,0.11234,0.125924,0.143694,0.168556,0.207563,0.285797,0.314199,0.353172,0.379262
5228,75,26,0.020166,0.029314,0.045556,0.058589,0.079531,0.08552,0.092502,0.100795,0.110887,0.123564,0.140252,0.165061,0.203948,0.281858,0.310128,0.348908,0.374863
5229,75.2,26,0.020166,0.029528,0.04581,0.058871,0.079855,0.085856,0.092851,0.10116,0.111269,0.123967,0.140646,0.164082,0.202044,0.27963,0.307766,0.346355,0.372176
5230,75.4,26,0.020166,0.029711,0.046017,0.059097,0.080114,0.086124,0.093131,0.101452,0.111579,0.124298,0.141007,0.164485,0.202134,0.279797,0.307966,0.346604,0.372462
5231,75.6,26,0.020167,0.029888,0.046216,0.059314,0.080357,0.086374,0.093389,0.10172,0.111858,0.124591,0.141318,0.164848,0.203634,0.28134,0.309529,0.348198,0.374075
5232,75.8,26,0.020167,0.029975,0.046306,0.059406,0.080453,0.086471,0.093487,0.101819,0.111958,0.124694,0.141422,0.165716,0.204633,0.282621,0.310921,0.34975,0.37574
5233,76,26,0.020167,0.029948,0.046272,0.059366,0.080406,0.086423,0.093436,0.101767,0.111903,0.124635,0.142023,0.166836,0.205747,0.283749,0.312058,0.350898,0.376894
5234,76.2,26,0.020167,0.029908,0.046208,0.059286,0.080299,0.086309,0.093314,0.101636,0.111761,0.124963,0.142702,0.167518,0.20644,0.284471,0.312791,0.351645,0.377651
5235,76.4,26,0.020167,0.029932,0.04623,0.059306,0.080317,0.086326,0.093331,0.101652,0.112083,0.125668,0.143436,0.168292,0.207276,0.28543,0.313791,0.352698,0.378737
5236,76.6,26,0.020169,0.030189,0.046532,0.05964,0.080699,0.08672,0.093739,0.10231,0.113182,0.126785,0.144578,0.169467,0.208505,0.286753,0.315144,0.354088,0.380149
5237,76.8,26,0.020195,0.030743,0.047233,0.060446,0.081658,0.087721,0.094785,0.103651,0.1146,0.128299,0.146215,0.171279,0.210592,0.289402,0.318002,0.357242,0.383507
5238,77,26,0.020311,0.030815,0.047273,0.060491,0.081757,0.087958,0.095626,0.104708,0.115726,0.129528,0.147605,0.172937,0.212764,0.292879,0.322036,0.362104,0.388963
