zoneid,dip,rake,mechanism,aspect ratio,msr,tectonic zone,region,tectonic subregion,concerns
162,58,147,strike-slip,2,StrasserIntraslab,Subduction intraslab,Indo-Myanmar,subduction intraslab,
163,46,55,reverse,2,StrasserIntraslab,Subduction intraslab,Indo-Myanmar,subduction intraslab,
164,65,22,strike-slip,2,StrasserIntraslab,Subduction intraslab,Indo-Myanmar,subduction intraslab,
166,61,46,reverse,2,StrasserIntraslab,Subduction intraslab,Andaman-Sumatra,subduction intraslab,
167,49,46,reverse,2,StrasserIntraslab,Subduction intraslab,Andaman-Sumatra,subduction intraslab,
169,81,-113,normal,2,StrasserIntraslab,Subduction intraslab,Hindu Kush,subduction intraslab Himalayas,only YCSH97 includes events to this depth
153,44,94,reverse,2,StrasserIntraslab,Subduction intraslab,Hindu Kush,subduction intraslab Himalayas,
154,80,-169,strike-slip,2,StrasserIntraslab,Subduction intraslab,Pamir,subduction intraslab Himalayas,
170,67,92,reverse,2,StrasserIntraslab,Subduction intraslab,Pamir,subduction intraslab Himalayas,only YCSH97 includes events to this depth
935,57,111,reverse,2,StrasserIntraslab,Subduction intraslab,Himalayas,subduction intraslab Himalayas,
936,47,-164,strike-slip,2,StrasserIntraslab,Subduction intraslab,Himalayas,subduction intraslab Himalayas,
