longitude,latitude,mmin,duration,lambda,nu,zoneid,tectonic subregion,a,b,mmax,name,id
94.4,5.8,5.5,95,0.000981174835444,0.0932116093672,167,subduction intraslab,2.87674640117,1.07,8.0,5.8N 94.4E 70-180 km depth,5p8N94p4Ez167
94.4,6.0,5.5,95,0.00107381795295,0.102012705531,167,subduction intraslab,2.91593066057,1.07,8.0,6N 94.4E 70-180 km depth,6N94p4Ez167
94.4,6.2,5.5,95,0.00112013951171,0.106413253612,167,subduction intraslab,2.93427211677,1.07,8.0,6.2N 94.4E 70-180 km depth,6p2N94p4Ez167
94.4,6.4,5.5,95,0.00112013951171,0.106413253612,167,subduction intraslab,2.93427211677,1.07,8.0,6.4N 94.4E 70-180 km depth,6p4N94p4Ez167
94.4,6.6,5.5,95,0.00108224005455,0.102812805182,167,subduction intraslab,2.91932360347,1.07,8.0,6.6N 94.4E 70-180 km depth,6p6N94p4Ez167
94.4,6.8,5.5,95,0.000998019038628,0.0948118086697,167,subduction intraslab,2.88413882615,1.07,8.0,6.8N 94.4E 70-180 km depth,6p8N94p4Ez167
94.4,7.0,5.5,95,0.000863265413159,0.0820102142501,167,subduction intraslab,2.82114434119,1.07,8.0,7N 94.4E 70-180 km depth,7N94p4Ez167
94.4,7.2,5.5,95,0.000690612330527,0.0656081714001,167,subduction intraslab,2.72423432819,1.07,8.0,7.2N 94.4E 70-180 km depth,7p2N94p4Ez167
94.4,7.4,5.5,95,0.000501115044712,0.0476059292476,167,subduction intraslab,2.58493744153,1.07,8.0,7.4N 94.4E 70-180 km depth,7p4N94p4Ez167
94.4,7.6,5.5,95,0.000324250911284,0.030803836572,167,subduction intraslab,2.39588120531,1.07,8.0,7.6N 94.4E 70-180 km depth,7p6N94p4Ez167
94.4,7.8,5.5,95,0.000193708336611,0.0184022919781,167,subduction intraslab,2.17214831182,1.07,8.0,7.8N 94.4E 70-180 km depth,7p8N94p4Ez167
94.4,8.0,5.5,95,0.000109487320693,0.0104012954659,167,subduction intraslab,1.92436382811,1.07,8.0,8N 94.4E 70-180 km depth,8N94p4Ez167
94.4,8.2,5.5,95,7.57989143262e-05,0.00720089686099,167,subduction intraslab,1.76466298524,1.07,8.0,8.2N 94.4E 70-180 km depth,8p2N94p4Ez167
94.4,8.4,5.5,95,8.4221015918e-05,0.00800099651221,167,subduction intraslab,1.8104204758,1.07,8.0,8.4N 94.4E 70-180 km depth,8p4N94p4Ez167
94.4,8.6,5.5,95,0.000122120473081,0.0116014449427,167,subduction intraslab,1.97178847804,1.07,8.0,8.6N 94.4E 70-180 km depth,8p6N94p4Ez167
94.4,8.8,5.5,95,0.00018528623502,0.0176021923269,167,subduction intraslab,2.15284315663,1.07,8.0,8.8N 94.4E 70-180 km depth,8p8N94p4Ez167
94.4,9.0,5.5,95,0.000248451996958,0.023602939711,167,subduction intraslab,2.28024249178,1.07,8.0,9N 94.4E 70-180 km depth,9N94p4Ez167
94.4,9.2,5.5,95,0.000303195657305,0.0288035874439,167,subduction intraslab,2.36672297657,1.07,8.0,9.2N 94.4E 70-180 km depth,9p2N94p4Ez167
94.4,9.4,5.5,95,0.000320039860488,0.0304037867464,166,subduction intraslab,2.06020407242,1.01,8.0,9.4N 94.4E 70-180 km depth,9p4N94p4Ez166
94.4,9.6,5.5,95,0.000298984606509,0.0284035376183,166,subduction intraslab,2.03064882886,1.01,8.0,9.6N 94.4E 70-180 km depth,9p6N94p4Ez166
94.4,9.8,5.5,95,0.000244240946162,0.0232028898854,166,subduction intraslab,1.9428184737,1.01,8.0,9.8N 94.4E 70-180 km depth,9p8N94p4Ez166
94.4,10.0,5.5,95,0.000176864133428,0.0168020926756,166,subduction intraslab,1.80263977054,1.01,8.0,10N 94.4E 70-180 km depth,10N94p4Ez166
94.4,10.2,5.5,95,0.000113698371489,0.0108013452915,166,subduction intraslab,1.6107542443,1.01,8.0,10.2N 94.4E 70-180 km depth,10p2N94p4Ez166
94.4,10.4,5.5,95,6.73768127344e-05,0.00640079720977,166,subduction intraslab,1.3835104628,1.01,8.0,10.4N 94.4E 70-180 km depth,10p4N94p4Ez166
94.4,10.6,5.5,95,4.2110507959e-05,0.0040004982561,166,subduction intraslab,1.17939048014,1.01,8.0,10.6N 94.4E 70-180 km depth,10p6N94p4Ez166
94.4,10.8,5.5,95,4.63215587549e-05,0.00440054808171,166,subduction intraslab,1.2207831653,1.01,8.0,10.8N 94.4E 70-180 km depth,10p8N94p4Ez166
94.4,11.0,5.5,95,7.15878635303e-05,0.00680084703538,166,subduction intraslab,1.40983940152,1.01,8.0,11N 94.4E 70-180 km depth,11N94p4Ez166
94.4,11.2,5.5,95,0.000130542574673,0.0124015445939,166,subduction intraslab,1.67075217397,1.01,8.0,11.2N 94.4E 70-180 km depth,11p2N94p4Ez166
94.4,11.4,5.5,95,0.000210552539795,0.0200024912805,166,subduction intraslab,1.87836048448,1.01,8.0,11.4N 94.4E 70-180 km depth,11p4N94p4Ez166
94.4,11.6,5.5,95,0.000307406708101,0.0292036372696,166,subduction intraslab,2.04271334026,1.01,8.0,11.6N 94.4E 70-180 km depth,11p6N94p4Ez166
94.4,11.8,5.5,95,0.000391627724019,0.0372046337818,166,subduction intraslab,2.14787342869,1.01,8.0,11.8N 94.4E 70-180 km depth,11p8N94p4Ez166
94.4,12.0,5.5,95,0.000437949282773,0.0416051818635,166,subduction intraslab,2.19642381944,1.01,8.0,12N 94.4E 70-180 km depth,12N94p4Ez166
94.4,12.2,5.5,95,0.000437949282773,0.0416051818635,166,subduction intraslab,2.19642381944,1.01,8.0,12.2N 94.4E 70-180 km depth,12p2N94p4Ez166
94.4,12.4,5.5,95,0.000395838774814,0.0376046836074,166,subduction intraslab,2.15251833374,1.01,8.0,12.4N 94.4E 70-180 km depth,12p4N94p4Ez166
94.4,12.6,5.5,95,0.000324250911284,0.030803836572,166,subduction intraslab,2.06588120531,1.01,8.0,12.6N 94.4E 70-180 km depth,12p6N94p4Ez166
94.4,12.8,5.5,95,0.000244240946162,0.0232028898854,166,subduction intraslab,1.9428184737,1.01,8.0,12.8N 94.4E 70-180 km depth,12p8N94p4Ez166
94.4,13.0,5.5,95,0.000176864133428,0.0168020926756,166,subduction intraslab,1.80263977054,1.01,8.0,13N 94.4E 70-180 km depth,13N94p4Ez166
94.4,13.2,5.5,95,0.000117909422285,0.0112013951171,166,subduction intraslab,1.62654851148,1.01,8.0,13.2N 94.4E 70-180 km depth,13p2N94p4Ez166
94.4,13.4,5.5,95,7.57989143262e-05,0.00720089686099,166,subduction intraslab,1.43466298524,1.01,8.0,13.4N 94.4E 70-180 km depth,13p4N94p4Ez166
