longitude,latitude,nu,mmin,duration,lambda,distance,zoneid,in zoneid,zmax,zmin,hypo_depth,tectonic subregion,a,b,stdb,mmax,stdmmax,rake,dip,strike,aspect ratio,msr,source_name,id,logN_5.0-6.0,logN_6.0-7.0,logN_7.0-8.0
65,24,0.0047,5.5,106,4.434e-05,0,903,903,25,0,15,active shallow crust normal,1.8068,1.12,0.12,7,0.4,-45.0,64,104,2,WC1994,24N 65E 0-25 km depth M5.5,24N_65E_L1_M5p5,-4.38,-4.92,-6.13
65,25,0.0037,5.5,106,3.4906e-05,0,14,14,25,0,15,subduction interface,-0.4971,0.72,0.09,8.6,0.4,126.0,10.2,298.4,2,StrasserInterface,25N 65E 0-25 km depth M5.5,25N_65E_L1_M5p5,,,
65,26,0.0039,5.5,106,3.6792e-05,0,14,14,25,0,15,subduction interface,-0.47424,0.72,0.09,8.6,0.4,126.0,10.2,298.4,2,StrasserInterface,26N 65E 0-25 km depth M5.5,26N_65E_L1_M5p5,,,
65,27,0.0088,5.5,106,8.3019e-05,0,14,14,25,0,15,subduction interface,-0.12082,0.72,0.09,8.6,0.4,126.0,10.2,298.4,2,StrasserInterface,27N 65E 0-25 km depth M5.5,27N_65E_L1_M5p5,,,
65,28,0.0108,5.5,106,0.00010189,0,15,15,25,0,15,active shallow crust strike-slip reverse,1.3981,0.98,0.1,8.3,0.4,24.0,71,204,2,WC1994,28N 65E 0-25 km depth M5.5,28N_65E_L1_M5p5,-4.05,-4.5,-5.48
65,29,0.0117,5.5,106,0.00011038,0,15,15,25,0,15,active shallow crust strike-slip reverse,1.4329,0.98,0.1,8.3,0.4,24.0,71,204,2,WC1994,29N 65E 0-25 km depth M5.5,29N_65E_L1_M5p5,-4.01,-4.46,-5.44
65,30,0.0051,5.5,106,4.8113e-05,0,15,15,25,0,15,active shallow crust strike-slip reverse,1.0723,0.98,0.1,8.3,0.4,24.0,71,204,2,WC1994,30N 65E 0-25 km depth M5.5,30N_65E_L1_M5p5,-4.45,-4.85,-5.83
65,31,0.0011,5.5,106,1.0377e-05,15.521,15,,25,0,15,active shallow crust strike-slip reverse,0.40609,0.98,0.1,8.3,0.4,24.0,71,204,2,WC1994,31N 65E 0-25 km depth M5.5,31N_65E_L1_M5p5,,-5.69,-6.67
65,32,0.0004,5.5,106,3.7736e-06,33.75,15,,25,0,15,active shallow crust strike-slip reverse,-0.033246,0.98,0.1,8.3,0.4,24.0,71,204,2,WC1994,32N 65E 0-25 km depth M5.5,32N_65E_L1_M5p5,,,
65,33,0.0003,5.5,106,2.8302e-06,59.535,8,,25,0,15,active shallow crust strike-slip reverse,-1.0382,0.82,0.08,8.3,0.3,113.0,34,271,2,WC1994,33N 65E 0-25 km depth M5.5,33N_65E_L1_M5p5,,,
66,23,0.0011,5.5,106,1.0377e-05,0,903,903,25,0,15,active shallow crust normal,1.1761,1.12,0.12,7,0.4,-45.0,64,104,2,WC1994,23N 66E 0-25 km depth M5.5,23N_66E_L1_M5p5,-5.1,-5.57,-7.58
66,24,0.0021,5.5,106,1.9811e-05,0,903,903,25,0,15,active shallow crust normal,1.4569,1.12,0.12,7,0.4,-45.0,64,104,2,WC1994,24N 66E 0-25 km depth M5.5,24N_66E_L1_M5p5,-4.76,-5.28,-6.65
66,25,0.0014,5.5,106,1.3208e-05,0,14,14,25,0,15,subduction interface,-0.91918,0.72,0.09,8.6,0.4,126.0,10.2,298.4,2,StrasserInterface,25N 66E 0-25 km depth M5.5,25N_66E_L1_M5p5,,,
66,26,0.0075,5.5,106,7.0755e-05,0,15,15,25,0,15,active shallow crust strike-slip reverse,1.2398,0.98,0.1,8.3,0.4,24.0,71,204,2,WC1994,26N 66E 0-25 km depth M5.5,26N_66E_L1_M5p5,-4.24,-4.67,-5.65
66,27,0.0248,5.5,106,0.00023396,0,15,15,25,0,15,active shallow crust strike-slip reverse,1.7591,0.98,0.1,8.3,0.4,24.0,71,204,2,WC1994,27N 66E 0-25 km depth M5.5,27N_66E_L1_M5p5,-3.65,-4.13,-5.11
66,28,0.0261,5.5,106,0.00024623,0,15,15,25,0,15,active shallow crust strike-slip reverse,1.7813,0.98,0.1,8.3,0.4,24.0,71,204,2,WC1994,28N 66E 0-25 km depth M5.5,28N_66E_L1_M5p5,-3.63,-4.11,-5.09
66,29,0.0289,5.5,106,0.00027264,0,15,15,25,0,15,active shallow crust strike-slip reverse,1.8256,0.98,0.1,8.3,0.4,24.0,71,204,2,WC1994,29N 66E 0-25 km depth M5.5,29N_66E_L1_M5p5,-3.58,-4.06,-5.04
66,30,0.0225,5.5,106,0.00021226,0,15,15,25,0,15,active shallow crust strike-slip reverse,1.7169,0.98,0.1,8.3,0.4,24.0,71,204,2,WC1994,30N 66E 0-25 km depth M5.5,30N_66E_L1_M5p5,-3.7,-4.17,-5.15
66,31,0.009,5.5,106,8.4906e-05,0,15,15,25,0,15,active shallow crust strike-slip reverse,1.3189,0.98,0.1,8.3,0.4,24.0,71,204,2,WC1994,31N 66E 0-25 km depth M5.5,31N_66E_L1_M5p5,-4.14,-4.58,-5.56
66,32,0.0048,5.5,106,4.5283e-05,0,8,8,25,0,15,active shallow crust strike-slip reverse,0.16594,0.82,0.08,8.3,0.3,113.0,34,271,2,WC1994,32N 66E 0-25 km depth M5.5,32N_66E_L1_M5p5,,-5.25,-6.07
66,33,0.003,5.5,106,2.8302e-05,0,8,8,25,0,15,active shallow crust strike-slip reverse,-0.038185,0.82,0.08,8.3,0.3,113.0,34,271,2,WC1994,33N 66E 0-25 km depth M5.5,33N_66E_L1_M5p5,,,
66,34,0.0002,5.5,106,1.8868e-06,28.799,8,,25,0,15,active shallow crust strike-slip reverse,-1.2143,0.82,0.08,8.3,0.3,113.0,34,271,2,WC1994,34N 66E 0-25 km depth M5.5,34N_66E_L1_M5p5,,,
66,35,0.0006,5.5,106,5.6604e-06,80.629,8,,25,0,15,active shallow crust strike-slip reverse,-0.73715,0.82,0.08,8.3,0.3,113.0,34,271,2,WC1994,35N 66E 0-25 km depth M5.5,35N_66E_L1_M5p5,,,
67,24,0.0001,5.5,106,9.434e-07,0,903,903,25,0,15,active shallow crust normal,0.13469,1.12,0.12,7,0.4,-45.0,64,104,2,WC1994,24N 67E 0-25 km depth M5.5,24N_67E_L1_M5p5,,-7.16,
67,25,0.0003,5.5,106,2.8302e-06,0,903,903,25,0,15,active shallow crust normal,0.61182,1.12,0.12,7,0.4,-45.0,64,104,2,WC1994,25N 67E 0-25 km depth M5.5,25N_67E_L1_M5p5,-6.5,-6.23,
