longitude,latitude,mmin,duration,lambda,nu,zoneid,tectonic subregion,a,b,mmax,nearest,name,id
74.2,29.2,4.5,45,1.77799922493e-05,0.000800099651221,919,stable shallow crust,-1.51006843268,0.72,7.2,0.0,29.2N 74.2E 0-25 km depth,29p2N74p2Ez919
74.2,29.4,4.5,45,7.11199689974e-05,0.00320039860488,919,stable shallow crust,-0.908008441355,0.72,7.2,0.0,29.4N 74.2E 0-25 km depth,29p4N74p2Ez919
74.2,29.6,4.5,45,0.000177799922493,0.00800099651221,919,stable shallow crust,-0.510068432683,0.72,7.2,0.0,29.6N 74.2E 0-25 km depth,29p6N74p2Ez919
74.2,29.8,4.5,45,0.000355599844987,0.0160019930244,919,stable shallow crust,-0.209038437019,0.72,7.2,0.0,29.8N 74.2E 0-25 km depth,29p8N74p2Ez919
74.2,30.0,4.5,45,0.000568959751979,0.0256031888391,919,stable shallow crust,-0.00491845436342,0.72,7.2,0.0,30N 74.2E 0-25 km depth,30N74p2Ez919
74.2,30.2,4.5,45,0.000728979682223,0.0328040857,17,subduction interface,0.552715424036,0.82,7.0,0.0,30.2N 74.2E 0-25 km depth,30p2N74p2Ez17
74.2,30.4,4.5,45,0.000746759674473,0.0336041853513,17,subduction interface,0.563180857715,0.82,7.0,0.0,30.4N 74.2E 0-25 km depth,30p4N74p2Ez17
74.2,30.6,4.5,45,0.000657859713226,0.0296036870952,17,subduction interface,0.508133291384,0.82,7.0,0.0,30.6N 74.2E 0-25 km depth,30p6N74p2Ez17
74.2,30.8,4.5,45,0.000586739744229,0.0264032884903,17,subduction interface,0.458445507195,0.82,7.0,0.0,30.8N 74.2E 0-25 km depth,30p8N74p2Ez17
74.2,31.0,4.5,45,0.000631189724852,0.0284035376183,17,subduction interface,0.490159920372,0.82,7.0,0.0,31N 74.2E 0-25 km depth,31N74p2Ez17
74.2,31.2,4.5,45,0.000808989647345,0.0364045341305,17,subduction interface,0.597942963974,0.82,7.0,0.0,31.2N 74.2E 0-25 km depth,31p2N74p2Ez17
74.2,31.4,4.5,45,0.000977899573714,0.0440054808171,17,subduction interface,0.680294256811,0.82,7.0,0.0,31.4N 74.2E 0-25 km depth,31p4N74p2Ez17
74.2,31.6,4.5,45,0.00101345955821,0.0456056801196,17,subduction interface,0.695806422989,0.82,7.0,0.0,31.6N 74.2E 0-25 km depth,31p6N74p2Ez17
74.2,31.8,4.5,45,0.000960119581465,0.0432053811659,17,subduction interface,0.67232532714,0.82,7.0,0.0,31.8N 74.2E 0-25 km depth,31p8N74p2Ez17
74.2,32.0,4.5,45,0.000995679565964,0.0448055804684,13,subduction interface,0.373119594323,0.75,8.8,0.0,32N 74.2E 0-25 km depth,32N74p2Ez13
74.2,32.2,4.5,45,0.0014046193877,0.0632078724464,13,subduction interface,0.522558658607,0.75,8.8,0.0,32.2N 74.2E 0-25 km depth,32p2N74p2Ez13
74.2,32.4,4.5,45,0.00234695897691,0.105613153961,13,subduction interface,0.745505498523,0.75,8.8,0.0,32.4N 74.2E 0-25 km depth,32p4N74p2Ez13
74.2,32.6,4.5,45,0.00374268836849,0.168420976582,13,subduction interface,0.948183667488,0.75,8.8,0.0,32.6N 74.2E 0-25 km depth,32p6N74p2Ez13
74.2,32.8,4.5,45,0.00521842772518,0.234829247633,13,subduction interface,1.0925396729,0.75,8.8,0.0,32.8N 74.2E 0-25 km depth,32p8N74p2Ez13
74.2,33.0,4.5,45,0.00634745723302,0.285635575486,12,active shallow crust strike-slip reverse,1.04259978343,0.72,8.6,0.0,33N 74.2E 0-25 km depth,33N74p2Ez12
74.2,33.2,4.5,45,0.00686307700825,0.308838465371,12,active shallow crust strike-slip reverse,1.07651887199,0.72,8.6,0.0,33.2N 74.2E 0-25 km depth,33p2N74p2Ez12
74.2,33.4,4.5,45,0.00685418701212,0.308438415546,12,active shallow crust strike-slip reverse,1.0759559497,0.72,8.6,0.0,33.4N 74.2E 0-25 km depth,33p4N74p2Ez12
74.2,33.6,4.5,45,0.00661415711676,0.297637070254,12,active shallow crust strike-slip reverse,1.0604745072,0.72,8.6,0.0,33.6N 74.2E 0-25 km depth,33p6N74p2Ez12
74.2,33.8,4.5,45,0.00641857720202,0.288835974091,12,active shallow crust strike-slip reverse,1.04743876922,0.72,8.6,0.0,33.8N 74.2E 0-25 km depth,33p8N74p2Ez12
74.2,34.0,4.5,45,0.00632078724464,0.284435426009,12,active shallow crust strike-slip reverse,1.04077117238,0.72,8.6,0.0,34N 74.2E 0-25 km depth,34N74p2Ez12
