longitude,latitude,nu,mmin,duration,lambda,distance,zoneid,in zoneid,zmax,zmin,tectonic subregion,a,b,stdb,mmax,stdmmax,rake,dip,strike,aspect ratio,msr,name,id,logN_5.0-6.0,logN_6.0-7.0,logN_7.0-8.0
64,30,0.0045,5.5,107,4.2056e-05,53.969,94.0,,70,25,subduction interface,1.0138,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,30N 64E 25-70 km depth,30N_64E_2,-4.53,-4.91,-5.89
64,31,0.0008,5.5,107,7.4766e-06,80.954,94.0,,70,25,subduction interface,0.26371,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,31N 64E 25-70 km depth,31N_64E_2,,-5.96,-6.94
65,23,0.0017,5.5,107,1.5888e-05,169.56,95.0,9031,70,25,subduction interface,0.37107,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,23N 65E 25-70 km depth,23N_65E_2,,-5.51,
65,24,0.0101,5.5,107,9.4393e-05,61.083,95.0,9031,70,25,subduction interface,1.1449,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,24N 65E 25-70 km depth,24N_65E_2,-4.13,-4.53,-5.52
65,25,0.0037,5.5,107,3.4579e-05,0,95.0,95,70,25,subduction interface,0.70882,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,25N 65E 25-70 km depth,25N_65E_2,-4.83,-5.03,-6.14
65,26,0.0004,5.5,107,3.7383e-06,0,95.0,95,70,25,subduction interface,-0.25732,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,26N 65E 25-70 km depth,26N_65E_2,,,
65,27,0.0027,5.5,107,2.5234e-05,0,94.0,94,70,25,subduction interface,0.79198,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,27N 65E 25-70 km depth,27N_65E_2,-4.9,-5.16,-6.14
65,28,0.0037,5.5,107,3.4579e-05,0,94.0,94,70,25,subduction interface,0.92882,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,28N 65E 25-70 km depth,28N_65E_2,-4.66,-5.01,-5.99
65,29,0.0009,5.5,107,8.4112e-06,0,94.0,94,70,25,subduction interface,0.31486,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,29N 65E 25-70 km depth,29N_65E_2,,-5.85,-6.83
65,30,0.0015,5.5,107,1.4019e-05,0,94.0,94,70,25,subduction interface,0.53671,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,30N 65E 25-70 km depth,30N_65E_2,-5.84,-5.49,-6.47
65,31,0.0003,5.5,107,2.8037e-06,0,94.0,94,70,25,subduction interface,-0.16226,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,31N 65E 25-70 km depth,31N_65E_2,,,
65,34,0.0001,5.5,107,9.3458e-07,98.088,92.0,,70,25,subduction interface,-0.25438,1.05,0.1,8.3,0.4,-5,66,194,2,StrasserInterface,34N 65E 25-70 km depth,34N_65E_2,,,
66,23,0.0005,5.5,107,4.6729e-06,147.6,94.0,9031,70,25,subduction interface,0.059586,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,23N 66E 25-70 km depth,23N_66E_2,,-6.71,-7.69
66,24,0.0048,5.5,107,4.486e-05,80.184,94.0,9031,70,25,subduction interface,1.0419,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,24N 66E 25-70 km depth,24N_66E_2,-4.49,-4.88,-5.86
66,25,0.004,5.5,107,3.7383e-05,0,95.0,95,70,25,subduction interface,0.74268,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,25N 66E 25-70 km depth,25N_66E_2,-4.76,-4.98,-6.08
66,26,0.0006,5.5,107,5.6075e-06,0,94.0,94,70,25,subduction interface,0.13877,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,26N 66E 25-70 km depth,26N_66E_2,,-6.3,-7.28
66,27,0.006,5.5,107,5.6075e-05,0,94.0,94,70,25,subduction interface,1.1388,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,27N 66E 25-70 km depth,27N_66E_2,-4.36,-4.77,-5.75
