longitude,latitude,mmin,duration,lambda,nu,zoneid,tectonic subregion,a,b,mmax,name,id
61.6,28.0,5.5,95,6.6e-05,0.00627,935,subduction intraslab Himalayas,1.70454393554,1.07,7.2,28N 61.6E 70-180 km depth,28N61p6Ez935
61.8,24.8,5.5,95,2e-06,0.00019,936,subduction intraslab Himalayas,1.12102999566,1.24,6.7,24.8N 61.8E 70-180 km depth,24p8N61p8Ez936
61.8,25.0,5.5,95,6e-06,0.00057,936,subduction intraslab Himalayas,1.59815125038,1.24,6.7,25N 61.8E 70-180 km depth,25N61p8Ez936
61.8,25.2,5.5,95,1.5e-05,0.001425,936,subduction intraslab Himalayas,1.99609125906,1.24,6.7,25.2N 61.8E 70-180 km depth,25p2N61p8Ez936
61.8,25.4,5.5,95,3.3e-05,0.003135,936,subduction intraslab Himalayas,2.33851393988,1.24,6.7,25.4N 61.8E 70-180 km depth,25p4N61p8Ez936
61.8,25.6,5.5,95,6.3e-05,0.005985,935,subduction intraslab Himalayas,1.68434054945,1.07,7.2,25.6N 61.8E 70-180 km depth,25p6N61p8Ez935
61.8,25.8,5.5,95,0.000107,0.010165,935,subduction intraslab Himalayas,1.91438377769,1.07,7.2,25.8N 61.8E 70-180 km depth,25p8N61p8Ez935
61.8,26.0,5.5,95,0.000164,0.01558,935,subduction intraslab Himalayas,2.09984384805,1.07,7.2,26N 61.8E 70-180 km depth,26N61p8Ez935
61.8,26.2,5.5,95,0.000227,0.021565,935,subduction intraslab Himalayas,2.24102585719,1.07,7.2,26.2N 61.8E 70-180 km depth,26p2N61p8Ez935
61.8,26.4,5.5,95,0.000286,0.02717,935,subduction intraslab Himalayas,2.34136603313,1.07,7.2,26.4N 61.8E 70-180 km depth,26p4N61p8Ez935
61.8,26.6,5.5,95,0.00033,0.03135,935,subduction intraslab Himalayas,2.40351393988,1.07,7.2,26.6N 61.8E 70-180 km depth,26p6N61p8Ez935
61.8,26.8,5.5,95,0.000353,0.033535,935,subduction intraslab Himalayas,2.43277470539,1.07,7.2,26.8N 61.8E 70-180 km depth,26p8N61p8Ez935
61.8,27.0,5.5,95,0.000349,0.033155,935,subduction intraslab Himalayas,2.42782542696,1.07,7.2,27N 61.8E 70-180 km depth,27N61p8Ez935
61.8,27.2,5.5,95,0.000317,0.030115,935,subduction intraslab Himalayas,2.38605926222,1.07,7.2,27.2N 61.8E 70-180 km depth,27p2N61p8Ez935
61.8,27.4,5.5,95,0.000264,0.02508,935,subduction intraslab Himalayas,2.30660392687,1.07,7.2,27.4N 61.8E 70-180 km depth,27p4N61p8Ez935
61.8,27.6,5.5,95,0.000201,0.019095,935,subduction intraslab Himalayas,2.18819605742,1.07,7.2,27.6N 61.8E 70-180 km depth,27p6N61p8Ez935
61.8,27.8,5.5,95,0.000138,0.01311,935,subduction intraslab Himalayas,2.0248790864,1.07,7.2,27.8N 61.8E 70-180 km depth,27p8N61p8Ez935
61.8,28.0,5.5,95,8.6e-05,0.00817,935,subduction intraslab Himalayas,1.81949845124,1.07,7.2,28N 61.8E 70-180 km depth,28N61p8Ez935
62.0,24.8,5.5,95,3e-06,0.000285,936,subduction intraslab Himalayas,1.29712125472,1.24,6.7,24.8N 62E 70-180 km depth,24p8N62Ez936
62.0,25.0,5.5,95,7e-06,0.000665,936,subduction intraslab Himalayas,1.66509804001,1.24,6.7,25N 62E 70-180 km depth,25N62Ez936
62.0,25.2,5.5,95,1.8e-05,0.00171,936,subduction intraslab Himalayas,2.0752725051,1.24,6.7,25.2N 62E 70-180 km depth,25p2N62Ez936
62.0,25.4,5.5,95,3.8e-05,0.00361,936,subduction intraslab Himalayas,2.39978359662,1.24,6.7,25.4N 62E 70-180 km depth,25p4N62Ez936
62.0,25.6,5.5,95,7.3e-05,0.006935,936,subduction intraslab Himalayas,2.68332286012,1.24,6.7,25.6N 62E 70-180 km depth,25p6N62Ez936
62.0,25.8,5.5,95,0.000125,0.011875,935,subduction intraslab Himalayas,1.98191001301,1.07,7.2,25.8N 62E 70-180 km depth,25p8N62Ez935
62.0,26.0,5.5,95,0.00019,0.01805,935,subduction intraslab Himalayas,2.16375360095,1.07,7.2,26N 62E 70-180 km depth,26N62Ez935
62.0,26.2,5.5,95,0.000261,0.024795,935,subduction intraslab Himalayas,2.30164050734,1.07,7.2,26.2N 62E 70-180 km depth,26p2N62Ez935
62.0,26.4,5.5,95,0.000328,0.03116,935,subduction intraslab Himalayas,2.40087384371,1.07,7.2,26.4N 62E 70-180 km depth,26p4N62Ez935
62.0,26.6,5.5,95,0.000379,0.036005,935,subduction intraslab Himalayas,2.46363920997,1.07,7.2,26.6N 62E 70-180 km depth,26p6N62Ez935
62.0,26.8,5.5,95,0.000407,0.038665,935,subduction intraslab Himalayas,2.49459440923,1.07,7.2,26.8N 62E 70-180 km depth,26p8N62Ez935
62.0,27.0,5.5,95,0.000405,0.038475,935,subduction intraslab Himalayas,2.49245502321,1.07,7.2,27N 62E 70-180 km depth,27N62Ez935
62.0,27.2,5.5,95,0.000373,0.035435,935,subduction intraslab Himalayas,2.45670883181,1.07,7.2,27.2N 62E 70-180 km depth,27p2N62Ez935
62.0,27.4,5.5,95,0.000316,0.03002,935,subduction intraslab Himalayas,2.38468708262,1.07,7.2,27.4N 62E 70-180 km depth,27p4N62Ez935
62.0,27.6,5.5,95,0.000244,0.02318,935,subduction intraslab Himalayas,2.27238982634,1.07,7.2,27.6N 62E 70-180 km depth,27p6N62Ez935
62.0,27.8,5.5,95,0.000171,0.016245,935,subduction intraslab Himalayas,2.11799611039,1.07,7.2,27.8N 62E 70-180 km depth,27p8N62Ez935
62.0,28.0,5.5,95,0.000107,0.010165,935,subduction intraslab Himalayas,1.91438377769,1.07,7.2,28N 62E 70-180 km depth,28N62Ez935
62.0,28.2,5.5,95,6e-05,0.0057,935,subduction intraslab Himalayas,1.66315125038,1.07,7.2,28.2N 62E 70-180 km depth,28p2N62Ez935
62.2,24.8,5.5,95,3e-06,0.000285,936,subduction intraslab Himalayas,1.29712125472,1.24,6.7,24.8N 62.2E 70-180 km depth,24p8N62p2Ez936
62.2,25.0,5.5,95,7e-06,0.000665,936,subduction intraslab Himalayas,1.66509804001,1.24,6.7,25N 62.2E 70-180 km depth,25N62p2Ez936
62.2,25.2,5.5,95,1.8e-05,0.00171,936,subduction intraslab Himalayas,2.0752725051,1.24,6.7,25.2N 62.2E 70-180 km depth,25p2N62p2Ez936
62.2,25.4,5.5,95,4e-05,0.0038,936,subduction intraslab Himalayas,2.42205999133,1.24,6.7,25.4N 62.2E 70-180 km depth,25p4N62p2Ez936
62.2,25.6,5.5,95,7.7e-05,0.007315,936,subduction intraslab Himalayas,2.70649072517,1.24,6.7,25.6N 62.2E 70-180 km depth,25p6N62p2Ez936
62.2,25.8,5.5,95,0.00013,0.01235,935,subduction intraslab Himalayas,1.99894335231,1.07,7.2,25.8N 62.2E 70-180 km depth,25p8N62p2Ez935
62.2,26.0,5.5,95,0.000198,0.01881,935,subduction intraslab Himalayas,2.18166519026,1.07,7.2,26N 62.2E 70-180 km depth,26N62p2Ez935
62.2,26.2,5.5,95,0.000271,0.025745,935,subduction intraslab Himalayas,2.31796929087,1.07,7.2,26.2N 62.2E 70-180 km depth,26p2N62p2Ez935
62.2,26.4,5.5,95,0.00034,0.0323,935,subduction intraslab Himalayas,2.41647891704,1.07,7.2,26.4N 62.2E 70-180 km depth,26p4N62p2Ez935
62.2,26.6,5.5,95,0.000394,0.03743,935,subduction intraslab Himalayas,2.48049622183,1.07,7.2,26.6N 62.2E 70-180 km depth,26p6N62p2Ez935
62.2,26.8,5.5,95,0.000426,0.04047,935,subduction intraslab Himalayas,2.5144095991,1.07,7.2,26.8N 62.2E 70-180 km depth,26p8N62p2Ez935
62.2,27.0,5.5,95,0.000429,0.040755,935,subduction intraslab Himalayas,2.51745729218,1.07,7.2,27N 62.2E 70-180 km depth,27N62p2Ez935
62.2,27.2,5.5,95,0.000402,0.03819,935,subduction intraslab Himalayas,2.48922605308,1.07,7.2,27.2N 62.2E 70-180 km depth,27p2N62p2Ez935
62.2,27.4,5.5,95,0.000348,0.03306,935,subduction intraslab Himalayas,2.42657924395,1.07,7.2,27.4N 62.2E 70-180 km depth,27p4N62p2Ez935
62.2,27.6,5.5,95,0.000275,0.026125,935,subduction intraslab Himalayas,2.32433269383,1.07,7.2,27.6N 62.2E 70-180 km depth,27p6N62p2Ez935
62.2,27.8,5.5,95,0.000196,0.01862,935,subduction intraslab Himalayas,2.17725607136,1.07,7.2,27.8N 62.2E 70-180 km depth,27p8N62p2Ez935
62.2,28.0,5.5,95,0.000126,0.01197,935,subduction intraslab Himalayas,1.98537054512,1.07,7.2,28N 62.2E 70-180 km depth,28N62p2Ez935
62.2,28.2,5.5,95,7.2e-05,0.00684,935,subduction intraslab Himalayas,1.74233249643,1.07,7.2,28.2N 62.2E 70-180 km depth,28p2N62p2Ez935
62.2,28.4,5.5,95,3.7e-05,0.003515,935,subduction intraslab Himalayas,1.45320172407,1.07,7.2,28.4N 62.2E 70-180 km depth,28p4N62p2Ez935
62.2,29.4,5.5,95,6e-06,0.00057,153,subduction intraslab Himalayas,0.828151250384,1.1,7.9,29.4N 62.2E 70-180 km depth,29p4N62p2Ez153
62.2,29.6,5.5,95,7e-06,0.000665,153,subduction intraslab Himalayas,0.895098040014,1.1,7.9,29.6N 62.2E 70-180 km depth,29p6N62p2Ez153
62.2,29.8,5.5,95,7e-06,0.000665,153,subduction intraslab Himalayas,0.895098040014,1.1,7.9,29.8N 62.2E 70-180 km depth,29p8N62p2Ez153
62.2,30.0,5.5,95,7e-06,0.000665,153,subduction intraslab Himalayas,0.895098040014,1.1,7.9,30N 62.2E 70-180 km depth,30N62p2Ez153
62.2,30.2,5.5,95,6e-06,0.00057,153,subduction intraslab Himalayas,0.828151250384,1.1,7.9,30.2N 62.2E 70-180 km depth,30p2N62p2Ez153
62.2,30.4,5.5,95,4e-06,0.00038,153,subduction intraslab Himalayas,0.652059991328,1.1,7.9,30.4N 62.2E 70-180 km depth,30p4N62p2Ez153
