longitude,latitude,nu,mmin,duration,lambda,distance,zoneid,in zoneid,zmax,zmin,tectonic subregion,a,b,stdb,mmax,stdmmax,rake,dip,strike,aspect ratio,msr,source_name,id,logN_5.0-6.0,logN_6.0-7.0,logN_7.0-8.0
70,22,0.0102,4.5,45,0.00022667,0,93.0,93,70,25,subduction interface,1.6654,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,22N 70E 25-70 km depth M4.5,22N_70E_L2_M4p5,-4.24,-5.42,-6.6
70,23,0.0223,4.5,45,0.00049556,0,93.0,93,70,25,subduction interface,2.0051,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,23N 70E 25-70 km depth M4.5,23N_70E_L2_M4p5,-3.9,-5.08,-6.26
70,24,0.0247,4.5,45,0.00054889,0,93.0,93,70,25,subduction interface,2.0495,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,24N 70E 25-70 km depth M4.5,24N_70E_L2_M4p5,-3.85,-5.03,-6.21
70,25,0.0087,4.5,45,0.00019333,0,93.0,93,70,25,subduction interface,1.5963,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,25N 70E 25-70 km depth M4.5,25N_70E_L2_M4p5,-4.31,-5.49,-6.67
70,26,0.0005,4.5,45,1.1111e-05,0,93.0,93,70,25,subduction interface,0.35576,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,26N 70E 25-70 km depth M4.5,26N_70E_L2_M4p5,-5.8,-6.98,-8.16
70,27,0.0086,4.5,45,0.00019111,0,93.0,93,70,25,subduction interface,1.5913,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,27N 70E 25-70 km depth M4.5,27N_70E_L2_M4p5,-4.32,-5.5,-6.68
70,28,0.0141,4.5,45,0.00031333,0,93.0,93,70,25,subduction interface,1.806,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,28N 70E 25-70 km depth M4.5,28N_70E_L2_M4p5,-4.1,-5.28,-6.46
71,19,0.0048,4.5,45,0.00010667,0,94.0,94,70,25,subduction interface,0.43803,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,19N 71E 25-70 km depth M4.5,19N_71E_L2_M4p5,-4.66,-5.64,-6.62
71,20,0.0153,4.5,45,0.00034,0,94.0,94,70,25,subduction interface,0.94148,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,20N 71E 25-70 km depth M4.5,20N_71E_L2_M4p5,-4.01,-4.99,-5.97
71,21,0.0002,4.5,45,4.4444e-06,0,94.0,94,70,25,subduction interface,-0.94218,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,21N 71E 25-70 km depth M4.5,21N_71E_L2_M4p5,,,
71,22,0.0062,4.5,45,0.00013778,0,94.0,94,70,25,subduction interface,0.54918,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,22N 71E 25-70 km depth M4.5,22N_71E_L2_M4p5,-4.49,-5.47,-6.45
71,23,0.0167,4.5,45,0.00037111,0,93.0,93,70,25,subduction interface,1.8795,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,23N 71E 25-70 km depth M4.5,23N_71E_L2_M4p5,-4.03,-5.21,-6.39
71,24,0.017,4.5,45,0.00037778,0,93.0,93,70,25,subduction interface,1.8872,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,24N 71E 25-70 km depth M4.5,24N_71E_L2_M4p5,-4.02,-5.2,-6.38
71,25,0.0183,4.5,45,0.00040667,0,93.0,93,70,25,subduction interface,1.9192,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,25N 71E 25-70 km depth M4.5,25N_71E_L2_M4p5,-3.99,-5.17,-6.35
71,26,0.0153,4.5,45,0.00034,0,93.0,93,70,25,subduction interface,1.8415,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,26N 71E 25-70 km depth M4.5,26N_71E_L2_M4p5,-4.06,-5.24,-6.42
71,27,0.0086,4.5,45,0.00019111,0,93.0,93,70,25,subduction interface,1.5913,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,27N 71E 25-70 km depth M4.5,27N_71E_L2_M4p5,-4.32,-5.5,-6.68
71,28,0.0034,4.5,45,7.5556e-05,0,93.0,93,70,25,subduction interface,1.1883,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,28N 71E 25-70 km depth M4.5,28N_71E_L2_M4p5,-4.74,-5.92,-7.1
71,29,0.0235,4.5,45,0.00052222,0,93.0,93,70,25,subduction interface,2.0279,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,29N 71E 25-70 km depth M4.5,29N_71E_L2_M4p5,-3.88,-5.06,-6.24
72,19,0.0004,4.5,45,8.8889e-06,0,94.0,94,70,25,subduction interface,-0.64115,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,19N 72E 25-70 km depth M4.5,19N_72E_L2_M4p5,,,
72,20,0.0012,4.5,45,2.6667e-05,0,94.0,94,70,25,subduction interface,-0.16403,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,20N 72E 25-70 km depth M4.5,20N_72E_L2_M4p5,,,
72,23,0.0001,4.5,45,2.2222e-06,0,93.0,93,70,25,subduction interface,-0.34321,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,23N 72E 25-70 km depth M4.5,23N_72E_L2_M4p5,,,
72,24,0.0003,4.5,45,6.6667e-06,0,93.0,93,70,25,subduction interface,0.13391,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,24N 72E 25-70 km depth M4.5,24N_72E_L2_M4p5,-6.34,-7.52,-8.7
72,25,0.0015,4.5,45,3.3333e-05,0,93.0,93,70,25,subduction interface,0.83288,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,25N 72E 25-70 km depth M4.5,25N_72E_L2_M4p5,-5.14,-6.32,-7.5
72,26,0.0058,4.5,45,0.00012889,0,93.0,93,70,25,subduction interface,1.4202,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,26N 72E 25-70 km depth M4.5,26N_72E_L2_M4p5,-4.5,-5.68,-6.86
72,27,0.0004,4.5,45,8.8889e-06,0,93.0,93,70,25,subduction interface,0.25885,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,27N 72E 25-70 km depth M4.5,27N_72E_L2_M4p5,-5.99,-7.17,-8.35
72,28,0.0019,4.5,45,4.2222e-05,0,93.0,93,70,25,subduction interface,0.93554,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,28N 72E 25-70 km depth M4.5,28N_72E_L2_M4p5,-5.02,-6.2,-7.38
72,29,0.0002,4.5,45,4.4444e-06,0,93.0,93,70,25,subduction interface,-0.042183,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,29N 72E 25-70 km depth M4.5,29N_72E_L2_M4p5,,,
73,16,0.001,4.5,45,2.2222e-05,0,94.0,94,70,25,subduction interface,-0.24321,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,16N 73E 25-70 km depth M4.5,16N_73E_L2_M4p5,,,
73,17,0.0136,4.5,45,0.00030222,0,94.0,94,70,25,subduction interface,0.89033,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,17N 73E 25-70 km depth M4.5,17N_73E_L2_M4p5,-4.07,-5.05,-6.03
73,18,0.0018,4.5,45,4e-05,0,94.0,94,70,25,subduction interface,0.01206,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,18N 73E 25-70 km depth M4.5,18N_73E_L2_M4p5,-6.45,-7.43,-8.41
73,19,0.0036,4.5,45,8e-05,0,94.0,94,70,25,subduction interface,0.31309,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,19N 73E 25-70 km depth M4.5,19N_73E_L2_M4p5,-4.88,-5.86,-6.84
73,20,0.0065,4.5,45,0.00014444,0,94.0,94,70,25,subduction interface,0.5697,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,20N 73E 25-70 km depth M4.5,20N_73E_L2_M4p5,-4.47,-5.45,-6.43
73,27,0.001,4.5,45,2.2222e-05,0,93.0,93,70,25,subduction interface,0.65679,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,27N 73E 25-70 km depth M4.5,27N_73E_L2_M4p5,-5.35,-6.53,-7.71
73,28,0.0187,4.5,45,0.00041556,0,93.0,93,70,25,subduction interface,1.9286,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,28N 73E 25-70 km depth M4.5,28N_73E_L2_M4p5,-3.98,-5.16,-6.34
73,29,0.001,4.5,45,2.2222e-05,0,93.0,93,70,25,subduction interface,0.65679,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,29N 73E 25-70 km depth M4.5,29N_73E_L2_M4p5,-5.35,-6.53,-7.71
